Date,Time(UTC),Account,Side,Action,Price,Gain%,Category,Reason(truncated)
2026-05-03,13:16:04,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,13:34:27,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move12.67%_k3m17_exit357.0600_px402.3
2026-05-03,13:51:29,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,14:00:17,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,16:56:58,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move11.30%_k3m9_exit357.0600_px397.40
2026-05-03,17:22:05,fin,SHORT,REENTRY,397.67,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,17:29:59,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,17:54:29,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,18:12:23,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,18:22:18,fin,SHORT,REENTRY,397.98,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,19:19:06,fin,LONG,OPEN,403.22,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move12.93%_k3m14_exit357.0600_px403.2
2026-05-03,20:20:07,fin,LONG,OPEN,405.50,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf2_move13.57%_k3m28_exit357.0600_px405.5
2026-05-03,20:35:35,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,20:44:19,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,20:53:10,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,21:01:48,fin,SHORT,REENTRY,405.97,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,21:31:20,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,21:59:53,fin,LONG,OPEN,405.46,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move13.60%_k3m16_exit357.0600_px405.6
2026-05-03,22:48:45,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move15.03%_k3m37_exit357.0600_px410.7
2026-05-04,11:39:08,fin,SHORT,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_DROP_htf2_move-5.80%_k3m23_exit381.1192_px359.02
2026-05-04,11:49:35,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-04,14:31:41,fin,SHORT,REENTRY,413.64,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-04,18:42:47,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_CROSSED_o60_FULLSTACK_htf2_SAFE_k3m5_exit357.0600_px359.0215_
2026-05-05,00:25:20,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-05,00:31:26,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-05,00:55:32,fin,SHORT,REENTRY,423.94,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
