symbol,side,open_ts,close_ts,held_min,entry_px,exit_px,pnl_pct,close_type,close_reason
AXSUSDT,SHORT,2026-03-17T07:28:46+00:00,2026-03-17T08:21:44+00:00,53.0,1.2325,1.234,-0.122,CLOSE,Manual/System Detection
AXSUSDT,SHORT,2026-03-17T10:22:17+00:00,2026-03-17T10:54:50+00:00,32.5,1.23891,1.235,0.315,CLOSE,Manual/System Detection
AXSUSDT,SHORT,2026-03-19T21:51:09+00:00,2026-03-19T22:40:05+00:00,48.9,1.19952,1.19952,0.000,CLOSE,QUICK_HEDGE_KILL_STRICT_LOSS_-0.14%_REDUCE
AXSUSDT,SHORT,2026-03-22T05:29:35+00:00,2026-03-22T08:13:06+00:00,163.5,1.14097,1.1175,2.057,CLOSE,QUICK_CYCLE_TP_STOCH_AGAINST_1.93%_k15:86_k3:50
AXSUSDT,SHORT,2026-03-25T06:55:21+00:00,2026-03-25T07:09:29+00:00,14.1,1.114,1.114,0.000,CLOSE,QUICK_CYCLE_TP_STOCH_AGAINST_0.50%_k15:62_k3:50
BANANAS31USDT,LONG,2026-03-28T02:45:21+00:00,2026-03-28T03:02:04+00:00,16.7,0.012953,0.013003,0.386,CLOSE,QUICK_HEDGE_ELECTED_BANANAS31USDT_LONG
BBUSDT,SHORT,2026-03-18T07:36:37+00:00,2026-03-18T15:43:24+00:00,486.8,0.0270936,0.0269581,0.500,CLOSE,Manual/System Detection
BCHUSDC,LONG,2026-03-20T03:51:30+00:00,2026-03-20T13:15:56+00:00,564.4,465.216,466.248,0.222,CLOSE,QUICK_SENTIMENT_CUT_GAIN0.5_REDUCE
BCHUSDC,LONG,2026-03-20T15:16:44+00:00,2026-03-20T16:03:09+00:00,46.4,469.71,468.49,-0.260,CLOSE,QUICK_CYCLE_TP_STOCH_AGAINST_0.71%_k15:67_k3:50
BEATUSDT,LONG,2026-04-08T00:08:32+00:00,2026-04-08T00:15:48+00:00,7.3,0.3219,0.3258,1.212,CLOSE,QUICK_HEDGE_KILL_REVERSING_-0.04%<prev-0.03%
BEATUSDT,LONG,2026-04-08T01:37:55+00:00,2026-04-08T01:49:57+00:00,12.0,0.324163,0.326091,0.595,CLOSE,QUICK_HEDGE_SAME_SYM_LAST_RESORT
BEATUSDT,LONG,2026-04-08T02:21:18+00:00,2026-04-08T06:25:31+00:00,244.2,0.317398,0.299744,-5.562,CLOSE,QUICK_HEDGE_KILL_REVERSING_-5.13%<prev-4.98%
BEATUSDT,LONG,2026-04-08T14:42:01+00:00,2026-04-08T15:09:09+00:00,27.1,0.300153,0.314059,4.633,CLOSE,HAIKU_WINNER_AUG_6.4pct
BEATUSDT,LONG,2026-04-08T15:09:38+00:00,2026-04-08T15:30:06+00:00,20.5,0.316156,0.3203,1.311,CLOSE,QUICK_DELTA_SPEED_EXIT_bs=0.23_es=0.84_btf=0_etf=0_fields=62
BEATUSDT,SHORT,2026-04-07T19:36:30+00:00,2026-04-07T23:32:23+00:00,235.9,0.327486,0.3234,1.248,CLOSE,WT_4H_VEL_EXIT_vel=48.9_g=2.26%_MANDATORY_REENTRY
BLURUSDT,LONG,2026-04-06T09:30:39+00:00,2026-04-06T09:44:05+00:00,13.4,0.01822,0.0182722,0.287,CLOSE,HEDGE_CLEANUP_R6_main_recovered_gain=0.33_main=0.54_wt3m=16.
BNBUSDC,LONG,2026-04-04T15:19:47+00:00,2026-04-04T17:02:06+00:00,102.3,590.96,590.96,0.000,CLOSE,HEDGE_PROTECT_SHORT_LOSS
