sym,side,window_days,window_months,window_is_1yr,gain_pct,bh_gain_pct,delta_vs_bh_pct,gain_per_mo_pct,bh_per_mo_pct,max_dd_pct,tim_pct,win_rate_pct,trades,closes_per_month,sharpe_per_trade,bars,capital_usd,venue,mode,run_id,source,finished_at
ROBO,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
ROKU,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
RRC,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
SCCO,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
SNDK,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
SNDK,SHORT,365.67013889,12.01,,0.0,3224.80775269,-3224.80775269,0.0,268.4472631258874,0.0,0,,0,,0,365.67013889,10000,stocks,12,autonomous_path_v8_1786622855_58122b4b734794e3,autonomous_direct_v8_path_probe,2026-08-13T12:11:04.963996Z
SNOW,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
STLD,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TDG,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TECK,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TECK,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TRGP,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TSLA,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TTD,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
TXN,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
USAR,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
USAR,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
UUUU,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
VALE,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
VALE,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
VICR,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
VLO,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
VT,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
WDAY,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
WPM,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
XLE,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
XOP,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
