rsi_period,stoch_k_period,exit_mode,fixed_tp_pct,adx_filter_enabled,adx_min_threshold,wt_filter_enabled,long_rsi_15m_max,htf_rvol_1h_min,_trades,_wr,_pnl,_sharpe,_pf,_avg_hold_h,cycle_tp_pct
10,9,fixed_tp,2.0,True,25,False,35,1.2,22,100.0,895.9238932233864,10.637625584370975,inf,30.488636363636363,
14,9,fixed_tp,0.5,True,20,True,35,0.8,38,100.0,465.98568114067064,10.601535922098995,inf,15.605263157894736,
14,9,fixed_tp,0.5,True,20,False,35,0.8,38,100.0,465.98568114067064,10.601535922098995,inf,15.605263157894736,
14,9,fixed_tp,0.5,False,20,True,35,0.8,38,100.0,465.98568114067064,10.601535922098995,inf,15.605263157894736,
14,9,fixed_tp,0.5,False,20,False,35,0.8,38,100.0,465.98568114067064,10.601535922098995,inf,15.605263157894736,
14,14,fixed_tp,1.5,True,25,True,40,0.8,26,100.0,833.859481678504,10.569031955040948,inf,32.97115384615385,
14,14,fixed_tp,1.5,True,25,False,40,0.8,26,100.0,833.859481678504,10.569031955040948,inf,32.97115384615385,
10,9,fixed_tp,2.0,True,20,True,35,0.8,25,100.0,930.6905668792372,10.518544293587556,inf,29.33,
10,9,fixed_tp,2.0,True,20,False,35,0.8,25,100.0,930.6905668792372,10.518544293587556,inf,29.33,
10,9,fixed_tp,2.0,False,20,True,35,0.8,25,100.0,930.6905668792372,10.518544293587556,inf,29.33,
10,9,fixed_tp,2.0,False,20,False,35,0.8,25,100.0,930.6905668792372,10.518544293587556,inf,29.33,
10,9,fixed_tp,2.0,True,25,False,35,0.8,25,100.0,930.7976847498862,10.51467684438368,inf,28.89,
10,9,fixed_tp,2.0,True,25,True,35,0.8,25,100.0,930.7976847498862,10.51467684438368,inf,28.89,
10,9,fixed_tp,1.5,True,20,True,40,1.2,26,100.0,848.0035762278974,10.40657367635282,inf,30.528846153846153,
10,9,fixed_tp,1.5,False,20,False,40,1.2,26,100.0,848.0035762278974,10.40657367635282,inf,30.528846153846153,
10,9,fixed_tp,1.5,False,20,True,40,1.2,26,100.0,848.0035762278974,10.40657367635282,inf,30.528846153846153,
10,9,fixed_tp,1.5,True,20,False,40,1.2,26,100.0,848.0035762278974,10.40657367635282,inf,30.528846153846153,
14,9,fixed_tp,0.5,False,20,False,40,1.2,38,100.0,451.5710029728495,10.346267678109035,inf,15.947368421052632,
14,9,fixed_tp,0.5,True,20,True,40,1.2,38,100.0,451.5710029728495,10.346267678109035,inf,15.947368421052632,
14,9,fixed_tp,0.5,True,20,False,40,1.2,38,100.0,451.5710029728495,10.346267678109035,inf,15.947368421052632,
14,9,fixed_tp,0.5,False,20,True,40,1.2,38,100.0,451.5710029728495,10.346267678109035,inf,15.947368421052632,
10,9,fixed_tp,2.0,False,20,True,40,0.8,24,100.0,939.1762839720113,10.312233904582742,inf,35.375,
10,9,fixed_tp,2.0,True,20,False,40,0.8,24,100.0,939.1762839720113,10.312233904582742,inf,35.375,
10,9,fixed_tp,2.0,True,20,True,40,0.8,24,100.0,939.1762839720113,10.312233904582742,inf,35.375,
10,9,fixed_tp,2.0,False,20,False,40,0.8,24,100.0,939.1762839720113,10.312233904582742,inf,35.375,
10,9,fixed_tp,2.0,True,25,True,40,0.8,24,100.0,939.2834018426604,10.308967076120426,inf,34.916666666666664,
10,9,fixed_tp,2.0,True,25,False,40,0.8,24,100.0,939.2834018426604,10.308967076120426,inf,34.916666666666664,
10,9,fixed_tp,1.0,True,20,True,40,0.8,33,100.0,795.9224330635794,10.256458944525447,inf,27.257575757575758,
10,9,fixed_tp,1.0,True,20,False,40,0.8,33,100.0,795.9224330635794,10.256458944525447,inf,27.257575757575758,
10,9,fixed_tp,1.0,False,20,False,40,0.8,33,100.0,795.9224330635794,10.256458944525447,inf,27.257575757575758,
10,9,fixed_tp,1.0,False,20,True,40,0.8,33,100.0,795.9224330635794,10.256458944525447,inf,27.257575757575758,
14,9,fixed_tp,2.0,False,20,False,45,1.2,21,100.0,875.8937243877486,10.233134346040117,inf,38.595238095238095,
14,9,fixed_tp,2.0,True,20,True,45,1.2,21,100.0,875.8937243877486,10.233134346040117,inf,38.595238095238095,
14,9,fixed_tp,2.0,False,20,True,45,1.2,21,100.0,875.8937243877486,10.233134346040117,inf,38.595238095238095,
14,9,fixed_tp,2.0,True,20,False,45,1.2,21,100.0,875.8937243877486,10.233134346040117,inf,38.595238095238095,
10,14,fixed_tp,1.5,True,20,True,35,0.8,25,100.0,769.3427574240793,10.215736660332045,inf,34.68,
10,14,fixed_tp,1.5,False,20,False,35,0.8,25,100.0,769.3427574240793,10.215736660332045,inf,34.68,
10,14,fixed_tp,1.5,False,20,True,35,0.8,25,100.0,769.3427574240793,10.215736660332045,inf,34.68,
10,14,fixed_tp,1.5,True,20,False,35,0.8,25,100.0,769.3427574240793,10.215736660332045,inf,34.68,
10,9,fixed_tp,0.5,True,20,True,35,1.2,37,100.0,443.24692698002747,10.164743843757963,inf,16.472972972972972,
10,9,fixed_tp,0.5,True,20,False,35,1.2,37,100.0,443.24692698002747,10.164743843757963,inf,16.472972972972972,
10,9,fixed_tp,0.5,False,20,True,35,1.2,37,100.0,443.24692698002747,10.164743843757963,inf,16.472972972972972,
10,9,fixed_tp,0.5,False,20,False,35,1.2,37,100.0,443.24692698002747,10.164743843757963,inf,16.472972972972972,
14,9,fixed_tp,1.5,False,20,False,45,1.2,25,100.0,825.2109776347536,10.153436839555441,inf,31.7,
14,9,fixed_tp,1.5,True,20,False,45,1.2,25,100.0,825.2109776347536,10.153436839555441,inf,31.7,
14,9,fixed_tp,1.5,False,20,True,45,1.2,25,100.0,825.2109776347536,10.153436839555441,inf,31.7,
14,9,fixed_tp,1.5,True,20,True,45,1.2,25,100.0,825.2109776347536,10.153436839555441,inf,31.7,
10,14,fixed_tp,1.0,False,20,False,40,0.8,33,100.0,784.2366256145745,10.090876434527518,inf,26.09090909090909,
10,14,fixed_tp,1.0,True,20,True,40,0.8,33,100.0,784.2366256145745,10.090876434527518,inf,26.09090909090909,
10,14,fixed_tp,1.0,True,20,False,40,0.8,33,100.0,784.2366256145745,10.090876434527518,inf,26.09090909090909,
10,14,fixed_tp,1.0,False,20,True,40,0.8,33,100.0,784.2366256145745,10.090876434527518,inf,26.09090909090909,
10,9,fixed_tp,1.5,False,20,False,45,1.2,26,100.0,849.6171773118265,10.074056970886373,inf,30.66346153846154,
10,9,fixed_tp,1.5,True,20,False,45,1.2,26,100.0,849.6171773118265,10.074056970886373,inf,30.66346153846154,
