symbol,side,open_ts,close_ts,held_min,avg_entry,exit_px,actual_pnl,pnl_+2h,pnl_+6h,pnl_+24h,reason_prefix,full_reason
BEATUSDT,LONG,2026-04-08T15:09:38+00:00,2026-04-08T15:30:06+00:00,20.5,0.3161560472,0.3203,1.3107,-1.7574,7.099,-8.2415,QUICK_DELTA_SPEED,QUICK_DELTA_SPEED_EXIT_bs=0.86_es=1.00_btf=0_etf=0_fields=62
BEATUSDT,SHORT,2026-04-07T19:36:30+00:00,2026-04-07T23:32:23+00:00,235.9,0.32748591,0.3234,1.2477,0.9423,7.2327,-2.0197,WT_4H_VEL,WT_4H_VEL_EXIT_vel=48.9_g=2.26%_MANDATORY_REENTRY
BLURUSDT,LONG,2026-04-06T09:30:39+00:00,2026-04-06T09:44:05+00:00,13.4,0.01822,0.01827223,0.2867,0.3842,-0.0549,-2.1954,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_main_recovered_gain=0.33_main=0.54_wt3m=16.2/20.2_wt15m=15.6/3.9
BNBUSDC,LONG,2026-04-04T15:19:47+00:00,2026-04-04T17:02:06+00:00,102.3,590.96,590.96,0.0,0.5906,0.484,0.3994,HEDGE_PROTECT_SHORT,HEDGE_PROTECT_SHORT_LOSS
BRETTUSDT,SHORT,2026-03-18T09:59:26+00:00,2026-03-18T10:49:54+00:00,50.5,0.008127,0.008127,0.0,24.1664,24.1664,24.1664,Manual/System Detection,Manual/System Detection
BTCDOMUSDT,SHORT,2026-03-28T17:59:59+00:00,2026-03-29T04:12:44+00:00,612.8,5056.51799589,5090.8,-0.678,0.0419,0.0419,0.0419,QUICK_HEDGE_CLEANUP,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
BTCDOMUSDT,SHORT,2026-04-04T11:22:21+00:00,2026-04-04T23:48:16+00:00,745.9,5124.2,5124.2,0.0,0.2596,-0.1795,-0.7084,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_wt1=15.3_wt2=9.5
BTCDOMUSDT,SHORT,2026-04-04T23:50:52+00:00,2026-04-07T23:45:37+00:00,4314.8,5123.99031844,5136.2,-0.2383,-0.0704,-0.2285,-1.663,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_LOSING_IN_DUAL_-0.55%
C98USDT,SHORT,2026-03-18T06:46:52+00:00,2026-03-18T07:50:18+00:00,63.4,0.02953096780612245,0.02956194,-0.1049,15.6817,15.6817,15.6817,Manual/System Detection,Manual/System Detection
CHZUSDT,LONG,2026-03-16T03:00:43+00:00,2026-03-16T22:50:21+00:00,1189.6,0.03889102249999999,0.03857,-0.8254,1.7201,0.3059,0.2031,Manual/System Detection,Manual/System Detection
COMPUSDT,LONG,2026-04-05T17:12:53+00:00,2026-04-05T19:25:11+00:00,132.3,16.51,16.51,0.0,1.272,1.6354,1.3325,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_wt1=7.9_wt2=5.6
CRVUSDC,LONG,2026-04-08T20:38:49+00:00,2026-04-08T21:44:16+00:00,65.5,0.21883232000000002,0.21883232,-0.0,-0.883,-1.6599,2.1787,QUICK_HEDGE_ORPHAN,QUICK_HEDGE_ORPHAN_KILL_no_original
CRVUSDC,SHORT,2026-03-18T15:00:56+00:00,2026-03-18T21:49:37+00:00,408.7,0.24034989533905404,0.24043735,-0.0364,9.5485,9.5485,9.5485,Manual/System Detection,Manual/System Detection
