cfg_ENTRY_SCORE_THRESHOLD,cfg_MIN_GAIN_TO_BUY_AGGRESSIVELY,cfg_RATIO_MULTIPLIER,cfg_REENTRY_STOCH_K_MAX,cfg_STRICT_NO_LOSS,cfg_WT_HTF_GATE_MIN,cfg_WT_LTF_GATE_MIN,config_id,elapsed_s,error
14,2.0,2.0,60,False,1,2,v7_0049,0.0003170967102050781,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,False,1,3,v7_0050,0.00021576881408691406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,False,2,1,v7_0051,0.00021719932556152344,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,False,2,2,v7_0052,0.00023746490478515625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,False,2,3,v7_0053,0.0002155303955078125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,0,1,v7_0054,0.0002219676971435547,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,0,2,v7_0055,0.00022411346435546875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,0,3,v7_0056,0.00021767616271972656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,1,1,v7_0057,0.00022029876708984375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,1,2,v7_0058,0.00025343894958496094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,1,3,v7_0059,0.0002238750457763672,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,2,1,v7_0060,0.00021958351135253906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,2,2,v7_0061,0.0002560615539550781,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,True,2,3,v7_0062,0.0002536773681640625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,0,1,v7_0063,0.0002319812774658203,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,0,2,v7_0064,0.00021839141845703125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,0,3,v7_0065,0.000240325927734375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,1,1,v7_0066,0.00021576881408691406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,1,2,v7_0067,0.00021409988403320312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,1,3,v7_0068,0.00025963783264160156,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,2,1,v7_0069,0.00021648406982421875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,2,2,v7_0070,0.0002129077911376953,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,80,False,2,3,v7_0071,0.00021386146545410156,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,0,1,v7_0072,0.000270843505859375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,0,2,v7_0073,0.0002162456512451172,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,0,3,v7_0074,0.00021767616271972656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,1,1,v7_0075,0.00022268295288085938,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,1,2,v7_0076,0.0002453327178955078,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,1,3,v7_0077,0.00021982192993164062,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,2,1,v7_0078,0.000217437744140625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,2,2,v7_0079,0.00021386146545410156,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,True,2,3,v7_0080,0.00024580955505371094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,0,1,v7_0081,0.00021791458129882812,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,0,2,v7_0082,0.00023508071899414062,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,0,3,v7_0083,0.00021791458129882812,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,1,1,v7_0084,0.000217437744140625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,1,2,v7_0085,0.00025391578674316406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,1,3,v7_0086,0.0002193450927734375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,2,1,v7_0087,0.00021958351135253906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,2,2,v7_0088,0.00022029876708984375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,40,False,2,3,v7_0089,0.00021529197692871094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,0,1,v7_0090,0.00022649765014648438,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,0,2,v7_0091,0.0002503395080566406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,0,3,v7_0092,0.00021505355834960938,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,1,1,v7_0093,0.00021767616271972656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,1,2,v7_0094,0.0002167224884033203,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,1,3,v7_0095,0.00021409988403320312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,2,1,v7_0096,0.00022363662719726562,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,2,2,v7_0097,0.00028896331787109375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,True,2,3,v7_0098,0.00023365020751953125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,0,1,v7_0099,0.00021457672119140625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,0,2,v7_0100,0.00021529197692871094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,0,3,v7_0101,0.00021409988403320312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,1,1,v7_0102,0.00021719932556152344,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,1,2,v7_0103,0.0002200603485107422,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,1,3,v7_0104,0.0002512931823730469,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,2,1,v7_0105,0.0002410411834716797,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,2,2,v7_0106,0.0002186298370361328,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,50,False,2,3,v7_0107,0.00021982192993164062,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,0,1,v7_0108,0.00021648406982421875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,0,2,v7_0109,0.00022101402282714844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,0,3,v7_0110,0.00021910667419433594,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,1,1,v7_0111,0.002287149429321289,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,1,2,v7_0112,0.0002300739288330078,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,1,3,v7_0113,0.0002300739288330078,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,2,1,v7_0114,0.0002269744873046875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,2,2,v7_0115,0.00021600723266601562,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,True,2,3,v7_0116,0.00022721290588378906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,0,1,v7_0117,0.00022125244140625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,0,2,v7_0118,0.0002257823944091797,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,0,3,v7_0119,0.00023698806762695312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,1,1,v7_0120,0.00024366378784179688,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,1,2,v7_0121,0.0002684593200683594,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,1,3,v7_0122,0.00026798248291015625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,2,1,v7_0123,0.0002262592315673828,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,2,2,v7_0124,0.00022792816162109375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,60,False,2,3,v7_0125,0.00022649765014648438,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,0,1,v7_0126,0.00022554397583007812,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,0,2,v7_0127,0.0002396106719970703,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,0,3,v7_0128,0.0002541542053222656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,1,1,v7_0129,0.00026869773864746094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,1,2,v7_0130,0.0002522468566894531,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,1,3,v7_0131,0.00023436546325683594,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,2,1,v7_0132,0.00023031234741210938,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
