system,param,current_value,vectorizable,why_logic
crypto,HEDGE_SAME_SYMBOL_BYPASS_TRADEABLE,True,MAYBE_STATE,IF-GATE
crypto,HEDGE_SAME_SYMBOL_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,HEDGE_SAME_SYMBOL_PCT,1,YES,kw
crypto,HEDGE_SCALP_C_REQUIRE_COMBINED_NONNEG,True,MAYBE_STATE,kw
crypto,HEDGE_SCALP_MAX_AGE_MIN,15,YES,kw
crypto,HEDGE_STRICT_WT_ALL_TFS_ENABLED,True,YES,kw
crypto,HEDGE_STRICT_WT_MIN_TFS_AGAINST,4,YES,kw
crypto,HEDGE_TRIGGER_GR_SCORE_ENABLED,True,YES,IF-GATE
crypto,HEDGE_TRIGGER_LOSS_PCT,-0.05,YES,kw
crypto,HEDGE_WT_VEL_GATE_ENABLED,False,YES,kw
crypto,HLR_BYPASS_MIN_TF_WEIGHT,25,YES,kw
crypto,HLR_OFF_SMA_PTS_FRAC,0.5,YES,kw
crypto,HLR_OFF_SMA_SZ_FRAC,0.7,YES,kw
crypto,HLR_RALLY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HLR_REENTRY_MAX_AGE_S,14400,YES,kw
crypto,HLR_REENTRY_MULT_1H,1.5,MAYBE_STATE,kw
crypto,HLR_REENTRY_MULT_4H,2,MAYBE_STATE,kw
crypto,HLR_REENTRY_MULT_D,2.5,MAYBE_STATE,kw
crypto,HLR_REENTRY_MULT_W,3,MAYBE_STATE,kw
crypto,HLR_TOP_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HLR_TOP_MIN_GAIN_PCT,1.5,YES,kw
crypto,HLR_TOP_MIN_TFS,2,YES,kw
crypto,HLR_TOP_VEL_1H_THRESH,-1,YES,kw
crypto,HLR_TOP_VEL_4H_THRESH,0,YES,kw
crypto,HLR_TOP_VEL_D_THRESH,0,YES,kw
crypto,HTF1_CONF,True,MAYBE_STATE,IF-GATE
crypto,HTF4_CONF,True,MAYBE_STATE,IF-GATE
crypto,HTF_AGAINST_FORCE_CLOSE_CONFIRM_4H,False,YES,IF-GATE
crypto,HTF_EXIT_VETO_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HTF_EXIT_VETO_MAX_LOSS_PCT,2,YES,kw
crypto,HTF_EXIT_VETO_MIN_ALIGNED,2,YES,kw
crypto,HTF_GATE_D_MANDATORY,False,MAYBE_STATE,kw
crypto,HTF_GATE_MIN_CONFIRMATIONS,2,YES,kw
crypto,HTF_GATE_SIGNALS_SMA200D,True,YES,kw
crypto,HTF_STRICT,True,MAYBE_STATE,IF-GATE
crypto,HTF_TREND_VETO_BYPASS_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HTF_TREND_VETO_ON_REDUCE_ENABLED,True,MAYBE_STATE,kw
crypto,K3M_CAP,80,MAYBE_STATE,IF-GATE
crypto,K3M_FLOOR,30,MAYBE_STATE,IF-GATE
crypto,KLINES_CACHE_DIR,/Users/niels/Documents/binance/klines_cache,MAYBE_STATE,IF-GATE
crypto,KLINE_COLUMNS,None,MAYBE_STATE,IF-GATE
crypto,K_ZONE_ENTRY_BONUS,25,YES,kw
crypto,K_ZONE_ENTRY_ENABLED,True,YES,kw
crypto,K_ZONE_LONG_THRESHOLD,35,YES,kw
crypto,K_ZONE_SHORT_THRESHOLD,10,YES,kw
crypto,LEADERBOARD_FILTER,True,MAYBE_STATE,IF-GATE
crypto,LEGACY_DC_BREAKOUT_REENTRY,True,YES,IF-GATE
crypto,LEGACY_DIRECTION_FAVORABLE,True,YES,IF-GATE
crypto,LEGACY_GUARANTEED_REENTRY,True,MAYBE_STATE,IF-GATE
crypto,LEGACY_PROC_SINGLE_REENTRY,False,MAYBE_STATE,IF-GATE
crypto,LEGACY_REENTRY_PSR_DC_BOUNCE,True,YES,IF-GATE
crypto,LEGACY_REENTRY_PSR_FULL_DC,True,MAYBE_STATE,IF-GATE
crypto,LEGACY_REENTRY_PSR_K_DC_CROSSOVER,False,YES,IF-GATE
crypto,LEGACY_REENTRY_PSR_QUICK_RECOVERY,True,MAYBE_STATE,IF-GATE
crypto,LH_HL_FILTER_AUGMENT_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,LH_HL_FILTER_DC_THRESHOLD_PCT,0.5,YES,kw
crypto,LH_HL_FILTER_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,LH_HL_FILTER_HEDGE_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,LIGHT_MODE,False,MAYBE_STATE,IF-GATE
crypto,LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT,1,MAYBE_STATE,kw
crypto,LIVE_POSITION_FRESHNESS_MAX_SEC,3,YES,kw
crypto,LIVE_USDC_PAIRS_FILE,/Users/niels/Documents/binance/live_usdc_pairs.json,YES,IF-GATE
crypto,LIVE_VEC_EMERGENCY_BRAKE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,LIVE_VEC_QUARANTINE_STRATEGY_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,LIVE_VEC_STALE_MARK_PRICE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,LOCAL_DATA_MAX_AGE,200,YES,IF-GATE
crypto,LOG_INTERVAL_SECONDS,10,MAYBE_STATE,IF-GATE
crypto,LONG_STOCH_CHASE_BLOCK,True,YES,IF-GATE
crypto,LOSERS_15M_FILE,/Users/niels/Documents/binance/data/losers_30r,MAYBE_STATE,IF-GATE
crypto,LOSS_EXIT_HEDGE_MODE_BLOCK_ESCAPE_ENABLED,False,YES,kw
crypto,LOSS_EXIT_REQUIRES_HEDGE,True,YES,kw
crypto,LOSS_EXIT_STALE_PRICE_ALLOW_NEAR_BE_ENABLED,False,YES,IF-GATE
