system,param,current_value,vectorizable,why_logic
crypto,MARKET_MODE,NORMAL_MODE,MAYBE_STATE,IF-GATE
crypto,MARKET_QUALITY_SCORE_ENABLED,False,YES,IF-GATE
crypto,MARK_PRICE_MAX_STALENESS,2,YES,kw
crypto,MAX_CONCURRENT_ORDERS,186,YES,kw
crypto,MAX_MEMORY_GB,8,YES,IF-GATE
crypto,MAX_ORDER_VALUE,150,YES,IF-GATE
crypto,MAX_ORDER_VALUE_FIN,120,YES,IF-GATE
crypto,MAX_ORDER_VALUE_MEN,120,YES,IF-GATE
crypto,MAX_POSITION_SIZE_BTC,2000,YES,kw
crypto,MAX_POSITION_SIZE_FIN,200,YES,kw
crypto,MAX_POSITION_SIZE_MEN,200,YES,kw
crypto,MICRO_SCALP_USDC_ACCOUNTS,None,YES,kw
crypto,MIN_PERC_FROM_SMA_1,0.01,YES,IF-GATE
crypto,MIN_PERC_FROM_SMA_15,0.03,YES,IF-GATE
crypto,MIN_QTY_FILE,/Users/niels/Documents/binance/min_qty.json,YES,IF-GATE
crypto,MIN_USD_DELTA_CONFIRM,1,YES,IF-GATE
crypto,MI_DIV_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MI_ENTRY_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,MI_ENTRY_EXHAUST_BONUS,8,MAYBE_STATE,kw
crypto,MI_ENTRY_STRUCT_BONUS,10,MAYBE_STATE,kw
crypto,MI_EXHAUST_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MI_EXIT_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,MI_MIN_GAIN_EXIT,0.1,YES,IF-GATE
crypto,MI_STRUCT_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MI_VELOCITY_EXIT_ENABLED,True,YES,IF-GATE
crypto,MI_WAVE_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MOM3_ENTRY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MOM3_LONG_THRESHOLD,-1,YES,IF-GATE
crypto,MOM3_SHORT_THRESHOLD,1,YES,kw
crypto,MOM5_ENTRY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MOM5_LONG_THRESHOLD,-1,YES,IF-GATE
crypto,MOM5_SHORT_THRESHOLD,1,YES,kw
crypto,MOMENTUM_FADE_BODY_ATR_MIN,2,YES,kw
crypto,MOMENTUM_FADE_ENABLED,False,MAYBE_STATE,kw
crypto,MOMENTUM_FADE_K_ZONE,True,YES,kw
crypto,MOMENTUM_FADE_SCORE_BONUS,35,YES,kw
crypto,MOMENTUM_FADE_VOL_MIN,2,MAYBE_STATE,kw
crypto,MOMENTUM_RIDER_BASE_SIZE_USD,50,MAYBE_STATE,kw
crypto,MOMENTUM_RIDER_COOLDOWN,300,MAYBE_STATE,kw
crypto,MOMENTUM_RIDER_DC_WIDTH_MIN,8,YES,kw
crypto,MOMENTUM_RIDER_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,MOMENTUM_RIDER_HEDGE_RATIO,1.2,MAYBE_STATE,kw
crypto,MOMENTUM_RIDER_MAX_SYMBOLS,5,YES,kw
crypto,MOMENTUM_RIDER_REL_VOL_MIN,3,MAYBE_STATE,kw
crypto,MOMENTUM_SMA_WATCHDOG_ENABLED,True,YES,IF-GATE
crypto,MOVER_DETECTION_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,MOVER_MAX_POSITIONS,6,YES,kw
crypto,MOVER_SCORE_BONUS,40,YES,kw
crypto,MOVER_THRESHOLD,5,YES,kw
crypto,MTF_EXIT_MIN_OPEN_TS,0,YES,kw
crypto,MTS_BOTTOM_BONUS_THRESHOLD,25,YES,kw
crypto,MTS_BOTTOM_MIN_SHORT,10,YES,kw
crypto,MTS_BOTTOM_STRONG_THRESHOLD,40,YES,kw
crypto,MTS_ENTRY_QUALITY_BONUS,25,MAYBE_STATE,kw
crypto,MTS_ENTRY_QUALITY_MIN,8,MAYBE_STATE,kw
crypto,MTS_ENTRY_QUALITY_MIN_SHORT,5,YES,kw
crypto,MTS_ENTRY_QUALITY_STRONG,40,MAYBE_STATE,kw
crypto,MTS_GATE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,NEWS_SENTIMENT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,NEW_POSITION_MAX_LOSS_THRESHOLD,-0.7,YES,IF-GATE
crypto,NEW_POSITION_MIN_AGE_SECONDS,180,YES,IF-GATE
crypto,NOLOSS_DC4H_GATE_ENABLED,True,YES,IF-GATE
crypto,NOLOSS_MIN_PROFIT_PCT,0,YES,IF-GATE
crypto,OBLIGATORY_HEDGE_OR_CLOSE_LOOP_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,OBLIGATORY_HEDGE_WT_TFS,2,YES,kw
crypto,OBLIGATORY_REENTRY_DEFAULT_SIZE_MULT,1,MAYBE_STATE,kw
crypto,OBLIGATORY_REENTRY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,OBLIGATORY_REENTRY_K15_HIGH_BLOCK,95,MAYBE_STATE,kw
crypto,OBLIGATORY_REENTRY_K15_HIGH_SIZE_FRAC,0.5,MAYBE_STATE,kw
crypto,OBLIGATORY_REENTRY_LONG_ENABLED,True,YES,kw
crypto,OBLIGATORY_REENTRY_SCORE_TIER1,40,YES,kw
crypto,OBLIGATORY_REENTRY_SCORE_TIER2,30,YES,kw
crypto,OBLIGATORY_REENTRY_SCORE_TIER3,30,YES,kw
crypto,OBLIGATORY_REENTRY_SHORT_ENABLED,True,YES,IF-GATE
crypto,OBLIGATORY_REENTRY_SHORT_K15_LOW_BLOCK,5,YES,kw
crypto,OBLIGATORY_REENTRY_SHORT_K15_LOW_SIZE_FRAC,0.5,YES,kw
crypto,OBLIGATORY_REENTRY_SHORT_SMA_BOUNCE_SIZE_MULT,1.5,YES,IF-GATE
crypto,OBLIGATORY_REENTRY_SMA_BOUNCE_SIZE_MULT,1.5,YES,kw
crypto,OBLIGATORY_REENTRY_SMA_FIELD,ema_50,YES,kw
crypto,OBLIGATORY_REENTRY_SMA_TF,15m,YES,kw
crypto,OBLIGATORY_REENTRY_TIER1_HTF_REQUIRED,3,MAYBE_STATE,kw
crypto,OBLIGATORY_REENTRY_TIER2_HTF_REQUIRED,1,MAYBE_STATE,kw
crypto,OBLIGATORY_SMA200_PCT,1,YES,kw
crypto,OBLIGATORY_SMA200_WT3M_ENABLED,True,YES,IF-GATE
crypto,OB_PRICE_DEFER_AT_LEVEL_TOL_PCT,0.05,YES,kw
crypto,OB_PRICE_DEFER_MAX_DISTANCE_PCT,0.5,YES,kw
crypto,OI_CONFIRM_ENABLED,True,YES,IF-GATE
crypto,OI_CONFIRM_MIN_CHANGE_PCT,0.5,YES,kw
crypto,OI_CONFIRM_MIN_PRICE_PCT,0.3,YES,kw
crypto,OI_HEDGE_GATE_ENABLED,False,YES,kw
crypto,OPEN_RATE_BREAKER_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,OPPOSITE_LOSER_DEEP_LOSS_PCT,-5,YES,kw
crypto,OPPOSITE_LOSER_HEDGE_PROTECT_ENABLED,False,MAYBE_STATE,kw
crypto,OPPOSITE_LOSER_HEDGE_PROTECT_MAX_GAIN,5,YES,kw
crypto,OUTLIER_DETECTOR_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,OUTLIER_RUNAWAY_ATR_FACTOR,2,YES,kw
crypto,OUTLIER_STALE_HOURS,6,MAYBE_STATE,IF-GATE
crypto,OUTLIER_STUCK_ATR_FACTOR,0.5,YES,kw
crypto,PAPER_TRADING_QUICK,False,MAYBE_STATE,IF-GATE
crypto,PARABOLIC_BB_PCT_B_4H_MAX,0.1,YES,kw
crypto,PARABOLIC_BB_PCT_B_4H_MIN,0.7,YES,kw
crypto,PARABOLIC_PROTECTION_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,PARABOLIC_RSI_1H_MAX,35,YES,kw
crypto,PARABOLIC_RSI_1H_MIN,65,YES,kw
crypto,PARABOLIC_RSI_4H_MAX,30,YES,kw
crypto,PARABOLIC_RSI_4H_MIN,70,YES,kw
crypto,PERSIST_FIN,24,YES,kw
crypto,PERSIST_FLZ,0,YES,kw
crypto,PERSIST_INF,4,YES,kw
crypto,PERSIST_MEN,24,YES,kw
crypto,PERSYM_FINAL_BOOK_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,PER_SYM_CONFIG_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,POSITION_STALE_THRESHOLD_SECONDS,60,YES,kw
crypto,PRICE_CACHE_FILE,/Users/niels/Documents/binance/price_cache_1.json,MAYBE_STATE,IF-GATE
crypto,PRICE_CACHE_FILE_2,/Users/niels/Documents/binance/price_cache_2.json,MAYBE_STATE,IF-GATE
crypto,PRICE_CACHE_FILE_3,/Users/niels/Documents/binance/price_cache_3.json,MAYBE_STATE,IF-GATE
crypto,PRICE_CROSSED_HTF_AGAINST_VETO_ENABLED,False,YES,IF-GATE
crypto,QUICK_HEDGE_SAME_SYM_LAST_RESORT_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,R3_GAIN_MAX_PCT,0,YES,kw
crypto,R3_HEDGE_INVARIANT_DUMP_ENABLED,True,MAYBE_STATE,kw
crypto,RANKING_MULT_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,RANK_CONVICTION_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,RATIO_CLOSE_LOSING_COOLDOWN_SECONDS,900,MAYBE_STATE,kw
crypto,RATIO_CLOSE_LOSING_MAX_PER_CYCLE,2,YES,kw
crypto,RATIO_CLOSE_LOSING_MIN_LOSS_PCT,-5,YES,kw
crypto,RATIO_CLOSE_LOSING_MIN_PNL_DELTA_PCT,10,YES,kw
crypto,RATIO_CLOSE_LOSING_MIN_SKEW_PP,40,YES,kw
crypto,RATIO_CLOSE_LOSING_OVERWEIGHT,False,MAYBE_STATE,IF-GATE
crypto,RATIO_EMERGENCY_EXIT_COOLDOWN,999999,MAYBE_STATE,kw
crypto,RATIO_EMERGENCY_EXIT_MAX_LOSS_PCT,-999,YES,kw
crypto,RATIO_EMERGENCY_EXIT_MAX_PER_CYCLE,0,YES,kw
crypto,RATIO_EMERGENCY_EXIT_THRESHOLD,999,YES,kw
crypto,RATIO_PNL_ACCELERATION,2.5,MAYBE_STATE,kw
crypto,RATIO_PNL_DELTA_THRESHOLD,3,YES,kw
crypto,RATIO_PNL_DYNAMIC_GATES_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,RATIO_PNL_GATE_SOFT_MAX,2,MAYBE_STATE,kw
crypto,RATIO_PNL_GATE_SOFT_MIN,0.5,MAYBE_STATE,kw
crypto,RATIO_PNL_TARGET_LONG_MAX,90,YES,kw
crypto,RATIO_PNL_TARGET_LONG_MIN,10,YES,kw
crypto,RATIO_PNL_WEIGHT,0.5,MAYBE_STATE,kw
crypto,RATIO_PNL_WEIGHT_ENABLED,True,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_APPLY_HTF_GATE,True,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_CLOSE_OVERWEIGHT_ONLY,True,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_COOLDOWN_CRASH,1800,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_COOLDOWN_EXTREME,3600,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_COOLDOWN_NORMAL,3600,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_COOLDOWN_PNL_DIVERGENT,1200,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_MAX_CLOSES,3,YES,kw
crypto,RATIO_REBALANCE_MAX_OPENS_EXTREME,12,YES,kw
crypto,RATIO_REBALANCE_MAX_OPENS_NORMAL,8,YES,kw
crypto,RATIO_REBALANCE_MAX_OPENS_STUCK,10,YES,kw
crypto,RATIO_REBALANCE_SIZE_MAX_MULT,10,YES,kw
crypto,RATIO_REBALANCE_SIZE_MULT,4,MAYBE_STATE,kw
crypto,RATIO_REBALANCE_SIZE_SKEW_BOOST,0.05,MAYBE_STATE,kw
crypto,RECENT_REDUCTION_GUARD_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REDIS_DB,0,MAYBE_STATE,IF-GATE
crypto,REDIS_HOST,localhost,MAYBE_STATE,IF-GATE
crypto,REDIS_PORT,6379,MAYBE_STATE,IF-GATE
crypto,REDUCE_HUGE_LOSS_THRESHOLD,-999,YES,kw
crypto,RED_ZONE_AUGMENT_GATE_ENABLED,False,YES,IF-GATE
crypto,RED_ZONE_FALLBACK_K15_HIGH,80,YES,kw
crypto,RED_ZONE_FALLBACK_K15_LOW,20,YES,kw
crypto,RED_ZONE_GATE_ENABLED,False,YES,IF-GATE
crypto,RED_ZONE_GATE_FALLBACK_ENABLED,True,YES,kw
crypto,RED_ZONE_HEDGE_GATE_ENABLED,False,YES,IF-GATE
crypto,RED_ZONE_MIN_DISTANCE_PCT,0.4,YES,kw
crypto,RED_ZONE_MIN_WALL_NOTIONAL_USD,50000,YES,kw
crypto,RED_ZONE_STALE_MAX_SEC,30,YES,kw
crypto,REENTRY2_DC_BREAK_ALLOW_15M,True,YES,kw
crypto,REENTRY2_DC_BREAK_ENABLED,True,YES,kw
crypto,REENTRY2_DC_BREAK_FILTER_TF,3m,YES,kw
crypto,REENTRY2_DC_BREAK_REQUIRE_K_FILTER,True,YES,kw
crypto,REENTRY2_DC_BREAK_REQUIRE_WT_FILTER,False,YES,kw
crypto,REENTRY2_DIR_FAV_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY2_QUICK_RECOVERY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY2_STOCH_CROSS_ENABLED,False,YES,IF-GATE
crypto,REENTRY_AGGRESSIVE_WINDOW_MIN,30,MAYBE_STATE,kw
crypto,REENTRY_B16_SIZE_MULT_STRONG,3,MAYBE_STATE,kw
crypto,REENTRY_B16_SIZE_MULT_WEAK,1.5,MAYBE_STATE,IF-GATE
crypto,REENTRY_B16_SMA200_PROX_PCT,0.005,YES,kw
crypto,REENTRY_B16_SMA200_PULLBACK_ENABLED,True,YES,IF-GATE
crypto,REENTRY_COOLDOWN_S,0,MAYBE_STATE,kw
crypto,REENTRY_CROSS_FRESHNESS_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,REENTRY_CROSS_MAX_BARS_AGO,5,YES,kw
crypto,REENTRY_DISPATCH_BACKOFF_S,0.4,MAYBE_STATE,IF-GATE
crypto,REENTRY_DISPATCH_MAX_ATTEMPTS,3,YES,IF-GATE
crypto,REENTRY_ESCALATION_CRIT_MIN,60,MAYBE_STATE,kw
crypto,REENTRY_ESCALATION_WARN_MIN,30,MAYBE_STATE,kw
crypto,REENTRY_EXHAUSTED_PARTIAL_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY_EXIT_RECLAIM_BUFFER_PCT,0.2,YES,kw
crypto,REENTRY_EXIT_RECLAIM_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY_FAVORABLE_HTF_MIN,2,MAYBE_STATE,kw
crypto,REENTRY_FAVORABLE_MOVE_PCT,1,YES,kw
crypto,REENTRY_FAVORABLE_QTY_MULT,1,MAYBE_STATE,kw
crypto,REENTRY_K15M_PARTIAL_ENABLED,True,MAYBE_STATE,kw
crypto,REENTRY_K15M_PARTIAL_MULT,0.5,MAYBE_STATE,kw
crypto,REENTRY_K15M_PARTIAL_THRESHOLD,90,YES,kw
crypto,REENTRY_LIVE_MONITOR_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY_MANDATORY,True,MAYBE_STATE,IF-GATE
crypto,REENTRY_MIN_GAP_MINUTES,0,YES,kw
crypto,REENTRY_NEVER_SKIP_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY_POST_CONSOL_ATR_THRESHOLD,0.15,YES,kw
crypto,REENTRY_POST_CONSOL_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,REENTRY_POST_CONSOL_MULT,1.5,MAYBE_STATE,kw
crypto,REENTRY_POST_CONSOL_TFS_REQUIRED,2,YES,kw
crypto,REENTRY_PRICE_IMPROVE_PCT,0.08,YES,kw
crypto,REENTRY_RALLY_K15M_MAX,30,MAYBE_STATE,kw
crypto,REENTRY_SIZE_BREAKOUT_MULT,1.5,MAYBE_STATE,IF-GATE
crypto,REENTRY_SIZE_DIP_MULT,2,MAYBE_STATE,IF-GATE
crypto,REENTRY_SIZE_EXTENDED_K1H,90,MAYBE_STATE,kw
crypto,REENTRY_SIZE_EXTENDED_MULT,1,MAYBE_STATE,kw
crypto,REENTRY_SYMGATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,REENTRY_SYMGATE_SPEED_MIN,0.5,MAYBE_STATE,kw
crypto,REENTRY_TIER1_SIZE_MULT,1.5,MAYBE_STATE,kw
crypto,REENTRY_TIER2_MAX_MINUTES,120,YES,kw
crypto,REENTRY_TIER2_MIN_MINUTES,10,YES,kw
crypto,REENTRY_TIER2_PRICE_PCT,0.003,YES,kw
crypto,REENTRY_TIER2_SIZE_MULT,0.8,MAYBE_STATE,kw
crypto,REENTRY_WT15M_CROSS_ENABLED,True,YES,IF-GATE
crypto,REENTRY_WT15M_HTF_FAVOR_REQUIRED,True,YES,kw
crypto,REENTRY_WT15M_SIZE_MULT,1.5,YES,kw
crypto,REV_MODE,False,MAYBE_STATE,IF-GATE
crypto,RE_2_PCT_OB,95,YES,kw
crypto,RE_2_PCT_OS,5,YES,kw
crypto,RE_3_B12_RISING_BONUS_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,RE_4_B14_HA_STREAK_CONV_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,RE_5_B04_COMPRESSION_BONUS_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,RE_6_MIN_EXPANDING_TFS,2,YES,kw
crypto,RE_6_WAVE_PHASE_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,RP_PROTECT_MIN_GAIN,1,YES,kw
crypto,RP_PROTECT_THRESHOLD,70,YES,kw
crypto,RP_STRONG_THRESHOLD,70,YES,kw
crypto,RP_WEAK_THRESHOLD,30,YES,kw
crypto,RSI2_MEAN_REVERSION_ENABLED,False,YES,IF-GATE
crypto,RSI2_SCORE_BONUS,20,YES,kw
crypto,RSI2_THRESHOLD_LONG,15,YES,IF-GATE
crypto,RSI2_THRESHOLD_SHORT,85,YES,kw
crypto,RSI_MACD_EMA_ENABLED,False,YES,IF-GATE
crypto,RSI_MACD_EMA_RSI_LONG,35,YES,IF-GATE
crypto,RSI_MACD_EMA_RSI_SHORT,65,YES,kw
crypto,RSI_MACD_EMA_SCORE,25,YES,kw
crypto,RSI_MACD_EMA_TF,1h,YES,kw
crypto,RULE_B_3M_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,RZ_BASELINE_BOUNCE_SHORT_ENABLED,False,YES,kw
crypto,RZ_K_ENTRY_MAX,50,MAYBE_STATE,kw
crypto,RZ_K_EXIT,95,MAYBE_STATE,kw
crypto,RZ_MFI_EXIT,85,YES,kw
crypto,R_G10_HTF_DIV_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,R_G10_HTF_DIV_TFS,"4h,D",YES,kw
crypto,R_S1_WT_COMPOSITE_DELTA_THR,50,YES,kw
crypto,R_S1_WT_COMPOSITE_DELTA_USE_ENABLED,False,YES,IF-GATE
crypto,R_S2_WT_ADAPTIVE_OS_ENABLED,False,YES,IF-GATE
crypto,R_S2_WT_PCT_OB_SHORT,90,YES,kw
crypto,R_S2_WT_PCT_OS_LONG,10,YES,kw
crypto,R_S3_DIV_STACK_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,R_S4_HA_STREAK_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,R_S5_SENT_VEL_BONUS,5,YES,kw
crypto,R_S5_SENT_VEL_ENABLED,False,YES,IF-GATE
crypto,R_S5_SENT_VEL_PCT_THR,75,YES,kw
crypto,R_S6_WT_MSTATE_GATE_MODE,0,YES,kw
crypto,R_S7_HHLL_MIN_INDICATORS,2,YES,kw
crypto,R_S7_HHLL_MIN_TFS_FOR_BONUS,2,YES,kw
crypto,R_S7_HHLL_STACK_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,R_S7_HHLL_TFS,"15m,1h,4h,D",YES,kw
crypto,R_Z2_PCT_BOT_THR,30,YES,kw
crypto,R_Z2_PCT_TOP_THR,90,YES,kw
crypto,R_Z2_PERCENTILE_SCALER_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,R_Z2_TOP_MULT,1.5,MAYBE_STATE,IF-GATE
crypto,R_Z3_T3_MULT,2,MAYBE_STATE,IF-GATE
crypto,R_Z3_WT_COMPOSITE_SIZE_ENABLED,False,YES,IF-GATE
crypto,R_Z5_DC_HTF_MIN,0.6,YES,kw
crypto,R_Z5_DC_LTF_LOW_THR,0.2,YES,kw
crypto,R_Z5_DC_PULLBACK_MULT,1.5,YES,kw
crypto,R_Z5_DC_PULLBACK_SIZING_ENABLED,False,YES,IF-GATE
crypto,SATOSHIT_ACCOUNTS,None,MAYBE_STATE,IF-GATE
crypto,SATOSHIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SATOSHIT_EXIT_ENABLED,False,MAYBE_STATE,kw
crypto,SATOSHIT_EXIT_PARTIAL_PCT,0.7,YES,kw
crypto,SATOSHIT_PROTECT_TRADES,True,MAYBE_STATE,IF-GATE
crypto,SBA_ADX_MAX,25,YES,IF-GATE
crypto,SBA_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,SBA_MAX_ADDS,2,YES,kw
crypto,SBA_MAX_CONCURRENT,3,YES,kw
crypto,SBA_MAX_LOSS_PCT,-15,YES,kw
crypto,SBA_MAX_TOTAL_MULT,20,YES,kw
crypto,SBA_MIN_LOSS_PCT,-2,YES,kw
crypto,SBA_MIN_SCORE,3.5,YES,kw
crypto,SBA_SIZE_FRACTION,0.4,MAYBE_STATE,kw
crypto,SCALP_MODE,False,MAYBE_STATE,IF-GATE
crypto,SCALP_REDUCE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,SCALP_V2_MAX_CONCURRENT,5,YES,kw
crypto,SCALP_V3_ACCOUNTS,None,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_AUG_BE_STOP_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_AUG_BE_STOP_PCT,0.1,YES,kw
crypto,SCALP_V3_AUG_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_AUG_MAX_FRAC_OF_POS,0.5,YES,kw
crypto,SCALP_V3_AUG_MIN_GAIN,2,YES,kw
crypto,SCALP_V3_BOOST_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_DIAG_LOG,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_ENFORCE_UNIVERSE_DIRECTION,True,YES,IF-GATE
crypto,SCALP_V3_FAST_PPL_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_FAST_PPL_GAIN_PCT,0.5,YES,kw
crypto,SCALP_V3_HTF_TREND_VEL_GATE,3,YES,kw
crypto,SCALP_V3_K_OB_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_K_OB_EXIT_K15M_HI,80,MAYBE_STATE,kw
crypto,SCALP_V3_K_OB_EXIT_K15M_LO,20,MAYBE_STATE,kw
crypto,SCALP_V3_K_OB_EXIT_K3M_HI,80,MAYBE_STATE,kw
crypto,SCALP_V3_K_OB_EXIT_K3M_LO,20,MAYBE_STATE,kw
crypto,SCALP_V3_K_OB_EXIT_WALL_PCT,0.5,YES,kw
crypto,SCALP_V3_MAX_CONCURRENT,8,YES,kw
crypto,SCALP_V3_MAX_LOSS_PCT,-1.5,YES,kw
crypto,SCALP_V3_OB_DIV_CONFLICT_MAX_NET,50,YES,kw
crypto,SCALP_V3_OB_FLOW_AGREE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_OB_FLOW_OFI_MIN_ABS,0,YES,kw
crypto,SCALP_V3_OB_FLOW_VEL_1M_MIN,0,YES,kw
crypto,SCALP_V3_OB_FLOW_VEL_3M_MIN,0,YES,kw
crypto,SCALP_V3_OB_MIN_DIFF,30,YES,kw
crypto,SCALP_V3_OB_MIN_SCORE,70,YES,kw
crypto,SCALP_V3_OB_REQUIRED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_OB_WALL_TOO_CLOSE_PCT,0.5,YES,kw
crypto,SCALP_V3_OUTLIER_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_OUTLIER_MAX_INJECT,15,YES,kw
crypto,SCALP_V3_OUTLIER_MIN_Z_LONG,1.5,YES,kw
crypto,SCALP_V3_OUTLIER_MIN_Z_SHORT,-1.5,YES,kw
crypto,SCALP_V3_PROTECTIVE_EXIT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_REENTRY_STICKY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_REENTRY_STICKY_MIN,30,MAYBE_STATE,kw
crypto,SCALP_V3_REQUIRE_SR_ON_ENTRY,False,MAYBE_STATE,IF-GATE
crypto,SCALP_V3_SCAN_BYPASS_GATES,False,MAYBE_STATE,kw
crypto,SCALP_V3_SCAN_MIN_DIVERGENCE,0.3,YES,kw
crypto,SCALP_V3_SR_TOL_PCT,0.5,YES,kw
crypto,SENTIMENT_TOP_N_GATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,SHORT_ABOVE_EMA20_IS_PENALTY,True,YES,kw
crypto,SHORT_ABOVE_SMA20_BONUS,15,YES,kw
crypto,SHORT_RSI_MIN_1H,40,YES,kw
crypto,SIGNALS_FILE,/Users/niels/Documents/binance/signals.json,MAYBE_STATE,IF-GATE
crypto,SIMPLE_TP_EXIT_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,SIMPLE_TP_PCT,0.5,YES,IF-GATE
crypto,STALE_WARNING_INTERVAL_SECONDS,30,MAYBE_STATE,IF-GATE
crypto,STALL_AGE_MIN_MIN,180,YES,kw
crypto,STALL_GAIN_ABS_MAX,0.5,YES,kw
crypto,STALL_MAX_CLOSES_PER_CYCLE,2,YES,kw
crypto,STDEV_BREAKOUT_EXIT_PCTB_FAIL,0.75,YES,kw
crypto,STDEV_BREAKOUT_EXIT_WT_ENABLED,True,YES,IF-GATE
crypto,STDEV_BREAKOUT_MAX_AGE_BARS,50,YES,kw
crypto,STDEV_BREAKOUT_MAX_RETESTS,3,YES,kw
crypto,STDEV_BREAKOUT_RETEST_PCTB_MAX,1.05,YES,kw
crypto,STDEV_BREAKOUT_RETEST_PCTB_MIN,0.85,YES,kw
crypto,STDEV_BREAKOUT_RETEST_SCORE,22,YES,kw
crypto,STDEV_BREAKOUT_RETEST_SIZE_MULT,1.5,MAYBE_STATE,kw
crypto,STDEV_BREAKOUT_RETEST_TF_LIST,None,MAYBE_STATE,kw
crypto,STDEV_BREAKOUT_SCORE,25,YES,kw
crypto,STDEV_REJECT_EXIT_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,STDEV_REJECT_EXIT_RETURN,0.65,MAYBE_STATE,kw
crypto,STDEV_REJECT_EXIT_TF,D,MAYBE_STATE,kw
crypto,STDEV_REJECT_EXIT_ZONE,0.8,YES,kw
crypto,STOP_MAJOR_LOSS_BLOCK_ENABLED,True,YES,kw
crypto,STOP_TIMEFRAME,15m,MAYBE_STATE,kw
crypto,STRICT_VEC_PARITY_GATE_ENTRIES,True,MAYBE_STATE,kw
crypto,STRICT_VEC_PARITY_GATE_EXITS,True,MAYBE_STATE,kw
