symbol_side,winning_tag,vectorized_sharpe,vectorized_trades,vectorized_gain_pct,sample_tag,cycle_id,ppl_enabled,ppl_gain_pct,ppl_arm_gain_pct,ppl_be_buffer_pct,ppl_frac,wt_3m_force_open,long_enabled,short_enabled,dc_long_enabled,dc_short_enabled,settings_stamp,raw_returns_count
NEARUSDC_LONG,fotest_baseline_NEARUSDC_LONG_2026-07-08,-0.17237240618268418,113.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
NEIROUSDT_SHORT,fotest_baseline_NEIROUSDT_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
NEM_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
NEOUSDC_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
NKE_SHORT,N/A,,,,,,False,,,,,False,,,,,,0
NKNUSDT_LONG,crypto_all_NKNUSDT_2026-05-03,0.2147352237200908,172.0,,CRYPTO_ALL,,False,,,,,False,,,,,,0
NKNUSDT_SHORT,crypto_all_NKNUSDT_2026-05-03,0.2147352237200908,172.0,,CRYPTO_ALL,,False,,,,,False,,True,,,,0
NLR_LONG,BEST_RULE_A_on,,,,BELOW_THRESHOLD,20260522_024059,False,,,,,False,,,,,,0
NLR_SHORT,BEST_PPL_v2_loose,,,,LOW_SAMPLE,20260522_024059,True,0.6,0.9,0.05,0.5,False,,,,,,0
NMRUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,False,,,,,0
NOC_SHORT,R1R2_strict_SHORT,0.1742,20.0,2.7543,,,False,,,,,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,20
NOTUSDT_SHORT,fotest_baseline_NOTUSDT_SHORT_2026-07-08,0.11242545653896309,126.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
NUKZ_LONG,fotest_baseline_NUKZ_LONG_2026-07-07,,,,NO_TRADES,,False,,,,,False,True,,,,,0
NVDAUSDT_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
NVDA_LONG,NOLOSS_WT5of5_LONG,,,,,,False,,,,,False,True,False,True,False,,22
NVDA_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
NXE_SHORT,N/A,,,,,,False,,,,,False,,,,,,0
OKE_LONG,fotest_baseline_OKE_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,False,,,,,0
OKE_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
OLED_LONG,PPL_v2_tight_LONG,,,,,,True,0.3,0.5,0.02,0.625,False,True,False,True,False,,44
OLED_SHORT,PPL_v2_tight_SHORT,,,,,,True,0.3,0.5,0.02,0.625,False,False,True,False,True,,44
ONDOUSDT_LONG,fotest_baseline_ONDOUSDT_LONG_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
OPUSDT_SHORT,fotest_baseline_OPUSDT_SHORT_2026-07-08,-0.13189857066443123,272.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
ORCL_SHORT,N/A,,,,,,False,,,,,False,,,,,,0
ORDIUSDC_SHORT,N/A,,,,,,False,,,,,False,,True,,,,0
PAAS_SHORT,PPL_v2_tight_SHORT,0.3402,62.0,13.5809,,,True,0.3,0.5,0.02,0.625,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,62
PARTIUSDT_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
PBF_LONG,fotest_baseline_PBF_LONG_2026-07-07,,,,NO_TRADES,,False,,,,,False,True,,,,,0
PBF_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
PENGUUSDC_SHORT,fotest_baseline_PENGUUSDC_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
PLTRUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,True,,,,,0
PLTR_LONG,PPL_v2_tight_LONG,0.0274,44.0,18.1695,,,True,0.3,0.5,0.02,0.625,False,True,False,True,False,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,44
PLTR_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
PNUTUSDC_SHORT,N/A,,,,,,False,,,,,False,,True,,,,0
POLUSDT_SHORT,N/A,,,,,,False,,,,,False,,True,,,,0
POPCATUSDT_SHORT,fotest_baseline_POPCATUSDT_SHORT_2026-07-08,-0.12713671174453728,321.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
PR_LONG,fotest_baseline_PR_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,False,,,,,0
PR_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
PSX_LONG,BEST_PPL_v2_loose,,,,BELOW_THRESHOLD,20260522_023833,True,0.6,0.9,0.05,0.5,False,,,,,,0
PSX_SHORT,BEST_PPL_v2_loose,,,,FULL,20260522_023833,True,0.6,0.9,0.05,0.5,False,,,,,,0
PTBUSDT_SHORT,fotest_baseline_PTBUSDT_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
PUMPUSDT_SHORT,fotest_baseline_PUMPUSDT_SHORT_2026-07-08,-0.3302411610802515,261.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
PWR_SHORT,N/A,,,,,,False,,,,,False,,,,,,0
PYPL_SHORT,R1R2_strict_SHORT,,,,NO_TRADES,,False,,,,,False,False,False,False,True,,16
QCOM_LONG,PPL_v2_tight_LONG,-0.1207,54.0,-18.5465,,,True,0.3,0.5,0.02,0.625,False,False,False,False,False,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,54
QRVO_LONG,N/A,,,,,,False,,,,,False,,,,,,0
QTUMUSDT_LONG,crypto_all_QTUMUSDT_2026-05-02,0.3248666860748358,56.0,,CRYPTO_ALL,,False,,,,,False,True,,,,,0
QTUMUSDT_SHORT,crypto_all_QTUMUSDT_2026-05-02,0.3248666860748358,56.0,,CRYPTO_ALL,,False,,,,,False,,True,,,,0
RAYSOLUSDT_LONG,fotest_baseline_RAYSOLUSDT_LONG_2026-07-08,0.7093211311531149,95.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
RBLX_LONG,NOLOSS_WT5of5_LONG,,,,,,False,,,,,False,True,False,True,False,,16
RBLX_SHORT,NOLOSS_WT5of5_SHORT,,,,NO_TRADES,,False,,,,,False,False,False,False,True,,16
RDDT_SHORT,N/A,,,,,,False,,,,,False,,,,,,0
RENDERUSDT_SHORT,fotest_baseline_RENDERUSDT_SHORT_2026-07-08,-0.13465555794211448,268.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
RGLD_SHORT,PPL_v2_loose_SHORT,0.7844,24.0,2.9898,,,True,0.6,0.9,0.05,0.5,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,24
RIFUSDT_LONG,fotest_baseline_RIFUSDT_LONG_2026-07-08,0.8821630533667318,77.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
RIO_SHORT,PPL_v2_tight_SHORT,0.8845,61.0,24.2349,,,True,0.3,0.5,0.02,0.625,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,61
RKLB_LONG,fotest_baseline_RKLB_LONG_2026-07-07,,,,NO_TRADES,,False,,,,,False,True,,,,,0
RLCUSDT_LONG,crypto_all_RLCUSDT_2026-05-03,0.22859120097199997,180.0,,CRYPTO_ALL,,False,,,,,False,True,,,,,0
RLCUSDT_SHORT,crypto_all_RLCUSDT_2026-05-03,0.22859120097199997,180.0,,CRYPTO_ALL,,False,,,,,False,,True,,,,0
ROBO_LONG,fotest_baseline_ROBO_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,20260522_023833,False,,,,,False,True,,,,,0
ROBO_SHORT,baseline,,,,BELOW_THRESHOLD,20260522_024059,False,,,,,False,,,,,,0
ROKU_LONG,BEST_PPL_v2_tight,,,,NO_TRADES,20260522_023833,True,0.3,0.5,0.02,0.625,False,False,,,,,0
ROKU_SHORT,BEST_RULE_A_on,,,,BELOW_THRESHOLD,20260522_024059,False,,,,,False,,,,,,0
RONINUSDT_SHORT,N/A,,,,,,False,,,,,False,,False,,,,0
ROSEUSDT_SHORT,fotest_baseline_ROSEUSDT_SHORT_2026-07-08,0.13184326041617053,197.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
RRC_LONG,fotest_baseline_RRC_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,False,,,,,0
RRC_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
RSRUSDT_SHORT,fotest_baseline_RSRUSDT_SHORT_2026-07-08,-0.14497768076698972,310.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
RS_SHORT,R1R2_strict_SHORT,0.2376,11.0,-1.6751,,,False,,,,,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,11
RUNEUSDT_SHORT,fotest_baseline_RUNEUSDT_SHORT_2026-07-08,0.005584928688338045,213.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
RVNUSDT_LONG,crypto_all_RVNUSDT_2026-05-03,0.2975658191821433,326.0,,CRYPTO_ALL,,False,,,,,False,,,,,,0
RVNUSDT_SHORT,crypto_all_RVNUSDT_2026-05-03,0.2975658191821433,326.0,,CRYPTO_ALL,,False,,,,,False,,True,,,,0
SAGAUSDT_SHORT,fotest_baseline_SAGAUSDT_SHORT_2026-07-08,0.15418474749130473,296.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
SANDUSDT_LONG,crypto_all_SANDUSDT_2026-05-03,0.3513249797619566,91.0,,CRYPTO_ALL,,False,,,,,False,False,,,,,0
SANDUSDT_SHORT,fotest_baseline_SANDUSDT_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
SAP_SHORT,NOLOSS_WT5of5_SHORT,,,,NO_TRADES,,False,,,,,False,False,False,False,True,,18
SCCO_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
SEIUSDT_SHORT,fotest_baseline_SEIUSDT_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
SKLUSDT_LONG,crypto_all_SKLUSDT_2026-05-03,0.3031075788603003,193.0,,CRYPTO_ALL,,False,,,,,False,,,,,,0
SKLUSDT_SHORT,fotest_baseline_SKLUSDT_SHORT_2026-07-07,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
SKYAIUSDT_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
SKYUSDT_LONG,PER_SYM_SIDE_DISABLED_no_positive_backtest,0.0,,,,,False,,,,,False,True,,,,,0
SKYUSDT_SHORT,PER_SYM_SIDE_DISABLED_no_positive_backtest,0.0,,,,,False,,,,,False,,True,,,,0
