Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
WT_DIV_EXIT_MOM_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[""1h"",""3m"",""15m"",""4h"",""D""]",3m|15m|1h|4h|D,5,1,1
WT_DIV_EXIT_REQUIRE_EXHAUST,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
WT_DIV_EXIT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[""1h"",""3m"",""15m"",""4h"",""D""]",3m|15m|1h|4h|D,5,1,1
WT_EXHAUST_EXIT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
WT_EXHAUST_EXIT_MIN_TFS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,True,False,False,False,"[0,1]",3m|15m|1h|4h|D,10,4,4
WT_EXHAUST_EXIT_TFS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[[""15m"",""1h"",""4h""],[""3m""],[""15m""],[""1h""],[""4h""],[""D""]]",3m|15m|1h|4h|D,30,4,4
WT_MOMENTUM_EXIT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,EXIT|QUICK_CONFIG,DISCONNECTED_LIVE_PATHS|QUICK_CONFIG,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
WT_MOMENTUM_EXIT_TFS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[[""15m"",""1h"",""4h""],[""3m""],[""15m""],[""1h""],[""4h""],[""D""]]",3m|15m|1h|4h|D,30,4,4
WT_MOMENTUM_EXIT_THRESHOLD,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG|RECENT_5D,QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,False,False,False,"[1,2,3]",3m|15m|1h|4h|D,15,4,4
WT_TF_15M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,5,5
WT_TF_1H_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,7,7
WT_TF_3M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,5,5
WT_TF_4H_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,7,7
WT_TF_5M_ENABLED,N/A_TIMEFRAME,BTCUSDC audit uses native 3m rather than Tradier 5m,N/A_TIMEFRAME,BTCUSDC audit uses native 3m rather than Tradier 5m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,[false],,0,0,0
WT_TF_D_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 4h,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[false,true]",3m|15m|1h|4h|D,10,8,8
