rank,key,symbol,side,status,strategy_return_pct,bh_return_pct,alpha_vs_bh_pp,alpha_vs_bh_per_month_pp,real_close_trades,tim_pct,entry_family,exit_family,source_receipt,blockers
15,GDX_SHORT,GDX,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,22.20952228455227,9.542335446496075,12.667186838056196,1.6362941869763283,111,10.49793,ENTRY_CLASSIC_FORMATION_DOUBLE_TOP_BOTTOM,EXIT_CLASSIC_FORMATION_CUP_HANDLE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
16,OLED_SHORT,OLED,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,35.61157850652015,32.98956243386176,2.62201607265839,0.3392659988918263,85,9.178131,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
17,INTC_LONG,INTC,LONG,BLOCKED,1200.3392617433221,139.3439234002749,1060.9953383430473,157.53192980886095,16,61.05036647900318,ENTRY_BOUNCE_5M_LOW,BOTTOM_B_DELAYED_LOWER_TOP_EXTENDED,data/reports/vec_research/capacity_cohort13_long_20260802/campaign_receipt.json,CAPACITY_GATE|LIFECYCLE_ALL_FOLDS_GATE|CLAMPS_PRESENT|LIFECYCLE_ALL_FOLDS_NOT_STRICT
18,USAR_LONG,USAR,LONG,BLOCKED,584.4784714288223,13.467053410587095,571.0114180182352,84.78126846795139,41,54.86266894525436,ENTRY_STOCH_HHHL,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/capacity_cohort11_long_20260802/campaign_receipt.json,LIFECYCLE_ALL_FOLDS_GATE|LIFECYCLE_ALL_FOLDS_NOT_STRICT
19,CDE_SHORT,CDE,SHORT,BLOCKED,367.9013655371391,-96.9960045967033,464.8973701338424,76.90387882309146,164,33.59096599440025,ENTRY_1H_TURN_UP,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/path_hotlist_20260801/full_v2/campaign_receipt.json,CAPACITY_GATE|TIM_GATE|LIFECYCLE_ALL_FOLDS_GATE|CLAMPS_PRESENT|LIFECYCLE_ALL_FOLDS_NOT_STRICT
20,UUUU_SHORT,UUUU,SHORT,BLOCKED,413.4134486257936,26.38298125666704,387.03046736912654,57.46458463681848,15,70.4705292395241,ENTRY_4H_DEEP_VALUE,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/capacity_failed_retry_02_short_20260802/campaign_receipt.json,CAPACITY_GATE|LIFECYCLE_ALL_FOLDS_GATE|CLAMPS_PRESENT|LIFECYCLE_ALL_FOLDS_NOT_STRICT
21,TXN_LONG,TXN,LONG,BLOCKED,392.7271275586135,59.415287379205814,333.3118401794077,49.488678709564496,14,64.29728460220403,ENTRY_WT_DC,BOTTOM_B_DELAYED_LOWER_TOP_EXTENDED,data/reports/vec_research/capacity_failed_retry_17_long_20260802/campaign_receipt.json,CAPACITY_GATE|LIFECYCLE_ALL_FOLDS_GATE|CLAMPS_PRESENT|LIFECYCLE_ALL_FOLDS_NOT_STRICT
22,NKE_SHORT,NKE,SHORT,BLOCKED,355.3368649259981,34.79420393630825,320.54266098968986,47.592767043286266,14,65.640684556302,ENTRY_BOUNCE_5M_LOW,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/capacity_failed_retry_14_short_20260802/campaign_receipt.json,CAPACITY_GATE|LIFECYCLE_ALL_FOLDS_GATE|CLAMPS_PRESENT|LIFECYCLE_ALL_FOLDS_NOT_STRICT
23,RBLX_SHORT,RBLX,SHORT,BLOCKED,297.4242670271303,41.562216320969554,255.86205070616077,37.98927399204277,43,58.51049254572442,ENTRY_BB_RECOVERY,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/capacity_frontier_20240711_20260801_v2_short_0d6ae3f126fc/campaign_receipt.json,LIFECYCLE_ALL_FOLDS_GATE|LIFECYCLE_ALL_FOLDS_NOT_STRICT
24,CLF_SHORT,CLF,SHORT,BLOCKED,146.84398959484307,-78.03508463522134,224.87907423006442,37.19976533629123,163,69.13307085944342,ENTRY_BOUNCE_5M_LOW,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/path_hotlist_20260801/full_v2/campaign_receipt.json,LIFECYCLE_ALL_FOLDS_GATE|LIFECYCLE_ALL_FOLDS_NOT_STRICT
25,FIVN_LONG,FIVN,LONG,BLOCKED,165.24554591622783,-24.023417490647898,189.2689634068757,31.309098226612935,126,16.958852124653962,ENTRY_LADDER_GREEN,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/path_hotlist_20260801/full_v2/campaign_receipt.json,TIM_GATE|LIFECYCLE_ALL_FOLDS_GATE|LIFECYCLE_ALL_FOLDS_NOT_STRICT
26,MOS_SHORT,MOS,SHORT,BLOCKED,200.17477060773865,7.453111048131796,192.72165955960685,28.614465916319674,32,78.87350000082127,ENTRY_BOUNCE_5M_LOW,BOTTOM_A_PROTECTIVE_TRAIL_EXTENDED,data/reports/vec_research/capacity_failed_retry_14_short_20260802/campaign_receipt.json,LIFECYCLE_ALL_FOLDS_GATE|LIFECYCLE_ALL_FOLDS_NOT_STRICT
