sym,switch,candidate,window,F_vec_delta,G_live_delta,F_filling,G_filling,vec_trades,live_trades,parity_pp
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,27.0,30,0.1586,0,True,False,12,0,0.1586
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.2,365,0.0,0,True,False,33,0,0.0
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.2,30,-0.0685,0,True,False,12,0,0.0685
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.3,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.3,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.4,365,0.0115,0,True,False,31,0,0.0115
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.4,30,-0.0774,0,True,False,12,0,0.0774
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.5,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.5,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.6,365,0.0,0,True,False,35,0,0.0
BNBUSDC_LONG,EXIT_SCORER_DC_EXTREME,0.6,30,0.189,0,True,False,12,0,0.189
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,0,365,0.0,0,True,False,33,0,0.0
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,0,30,-0.0685,0,True,False,12,0,0.0685
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,0.5,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,0.5,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,1.0,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,1.0,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,2.0,365,-0.0075,0,True,False,34,0,0.0075
BNBUSDC_LONG,E_1_EXIT_DELTA_THR,2.0,30,0.1782,0,True,False,12,0,0.1782
BNBUSDC_LONG,HAIKU_ENTRY_GATE_ENABLED,False,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,HAIKU_ENTRY_GATE_ENABLED,False,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,HAIKU_ENTRY_GATE_ENABLED,True,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,HAIKU_ENTRY_GATE_ENABLED,True,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,HTF_GATE_SIGNALS_SMA200D,False,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,HTF_GATE_SIGNALS_SMA200D,False,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,HTF_GATE_SIGNALS_SMA200D,True,365,0.0,0,False,False,33,0,0.0
