sheet,family,Switch,default,status,vector_causal,live_read,declared_in_quick,badly_wired,is_low_tf
ENTRY_PULLBACK_BOUNCE,ENTRY,GOLDEN_RULE_HTF_VOTE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GR_FILTER_ALL_ENTRIES,0.0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GR_FILTER_VEC_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GR_FILTER_VEC_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GR_FILTER_VEC_MIN_TFS,0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GR_V5_STATE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HAIKU_WINNER_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HA_WICK_QUALITY_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HA_WICK_QUALITY_SCORE,15,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HA_WICK_QUALITY_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HLR_SMA_BAND_PCT,0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HLR_TOP_MIN_TFS,0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF4_CONF,False,HOOKED_BOTH,True,True,True,False,
