host,path,mtime_utc,size_bytes,records,status
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HD_LONG.json,2026-08-20T23:18:23.446473+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HES_LONG.json,2026-08-20T23:18:23.403853+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HES_SHORT.json,2026-08-20T23:18:10.690696+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HL_SHORT.json,2026-08-20T23:18:23.243555+00:00,198,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HOTUSDT_.json,2026-08-20T23:18:23.739609+00:00,119,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HWM_SHORT.json,2026-08-20T23:18:23.420384+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ICL_LONG.json,2026-08-20T23:18:23.402307+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/INSW_SHORT.json,2026-08-20T23:18:23.235872+00:00,201,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/IOTAUSDT_SHORT.json,2026-08-20T23:18:10.649293+00:00,204,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/IOTXUSDT_SHORT.json,2026-08-20T23:18:10.647894+00:00,204,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/IPI_LONG.json,2026-08-20T23:18:23.326115+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/JD_LONG.json,2026-08-20T23:18:23.226166+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/JNJ_SHORT.json,2026-08-20T23:18:23.749471+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/KMI_SHORT.json,2026-08-20T23:18:23.494765+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/KNCUSDT_SHORT.json,2026-08-20T23:18:10.658837+00:00,204,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/KSMUSDT_.json,2026-08-20T23:18:23.743735+00:00,119,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/KTOS_SHORT.json,2026-08-20T23:18:23.348382+00:00,200,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LDOS_SHORT.json,2026-08-20T23:18:10.488746+00:00,243,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LEU_LONG.json,2026-08-20T23:18:23.351007+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LHX_LONG.json,2026-08-20T23:18:23.452952+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LHX_SHORT.json,2026-08-20T23:18:10.614362+00:00,198,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LINKUSDC_LONG.json,2026-08-20T23:18:23.500012+00:00,231,1,ok
