field,classification,connected_crypto,connected_tradier,source_venue_applicability,family,lifecycle_consumers,exact_native_tf_crypto,exact_native_tf_tradier,required_npz_arrays,timeframe_applicability,v12_causal_read_sites,integrated_contract_sites,classification_reason,current_quickconfig_presence_not_used_as_credit,prior_vector_census_not_used_as_credit,prior_live_census_not_used_as_credit,engine_sha256
BAND_ARROW_ENABLED,UNCONNECTED,False,False,BOTH,FILTER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_ENTRY_TFS,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],next_100_contract=NOT_INTEGRATED,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_EXIT_TFS,REJECTED_INERT,False,False,BOTH,BAND_ARROW_EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],v12_exit_reduce_gap_batch9=REJECTED_NO_SOURCE_SEMANTICS,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_MAX_POS_MULT,UNCONNECTED,False,False,BOTH,BAND_ARROW_MAX,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_ARROW_SLOPE_DEADBAND,UNCONNECTED,False,False,BOTH,EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAR_PATTERNS_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_BAR_PATTERNS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAR_PATTERNS_MIN_TFS,UNCONNECTED,False,False,BOTH,VEC_BAR_PATTERNS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_BASIS_PCT,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_BREAKOUT_PCT,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_MAX_STOCK_SHARES,VENUE_SPECIFIC_BY_SOURCE,False,False,TRADIER,BB4H_BREAKOUT_LADDER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is TRADIER; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_STOCK_MAX_NOTIONAL_USD,VENUE_SPECIFIC_BY_SOURCE,False,False,TRADIER,BB4H_BREAKOUT_LADDER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is TRADIER; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_TARGET_USD,UNCONNECTED,False,False,BOTH,EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB4H_BREAKOUT_LADDER_WT_CROSS_PCT,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_AUTO_TUNE_ENABLED,UNCONNECTED,False,False,BOTH,BB_AUTO_TUNE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_AUTO_TUNE_LOOKBACK,UNCONNECTED,False,False,BOTH,BB_AUTO_TUNE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_AUTO_TUNE_MAX_MULT,UNCONNECTED,False,False,BOTH,BB_AUTO_TUNE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_AUTO_TUNE_MIN_MULT,UNCONNECTED,False,False,BOTH,BB_AUTO_TUNE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_BOT_THRESHOLD,UNCONNECTED,False,False,BOTH,BB_BOT_THRESHOLD,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_BREAKOUT_CONT_ENABLED,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_BREAKOUT_CONT_HOURS,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BB_FROZEN_STOP_FIELD,CONNECTED_BOTH,True,True,BOTH,GLOBAL,EXIT|STOP,native=3m,native=5m,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_exit_reduce_gap_batch5:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH5_CONTRACT.csv""]",trusted direct lifecycle read and/or imported+consumed SOURCE_EXACT contract applies to both venues,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
