switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
HAIKU_ENTRY_GATE_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
HTF_GATE_SIGNALS_SMA200D,False,,,-2.0853,-2.0853,0,0,False,False,
HTF_GATE_SIGNALS_SMA200D,True,,,-2.0853,-2.0853,0,0,False,False,
INTRADAY_SESSION_FORCE_EXIT_UTC,0,,,-2.0853,-2.0853,0,0,False,False,
INTRADAY_SESSION_FORCE_EXIT_UTC,0.5,,,-2.0853,-2.0853,0,0,False,False,
INTRADAY_SESSION_FORCE_EXIT_UTC,1.0,,,-2.0853,-2.0853,0,0,False,False,
INTRADAY_SESSION_FORCE_EXIT_UTC,2.0,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_SCORE,8,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_SCORE,11,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_SCORE,15,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_SCORE,19,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_SCORE,22,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_TF,OFF,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_TF,D,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_TF,4h,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_TF,1h,,,-2.0853,-2.0853,0,0,False,False,
MACD_ZERO_CROSS_TF,15m,,,-2.0853,-2.0853,0,0,False,False,
MI_MIN_GAIN_EXIT,0,,,-2.0853,-2.0853,0,0,False,False,
MI_MIN_GAIN_EXIT,0.5,,,-2.0853,-2.0853,0,0,False,False,
MI_MIN_GAIN_EXIT,1.0,,,-2.0853,-2.0853,0,0,False,False,
MI_MIN_GAIN_EXIT,2.0,,,-2.0853,-2.0853,0,0,False,False,
PARTIAL_EXIT_FRAC,0,,,-2.0853,-2.0853,0,0,False,False,
PARTIAL_EXIT_FRAC,0.5,,,-2.0853,-2.0853,0,0,False,False,
PARTIAL_EXIT_FRAC,1.0,,,-2.0853,-2.0853,0,0,False,False,
PARTIAL_EXIT_FRAC,2.0,,,-2.0853,-2.0853,0,0,False,False,
QUICK_REENTRY_60MIN_MIN_PCT,0,,,-2.0853,-2.0853,0,0,False,False,
QUICK_REENTRY_60MIN_MIN_PCT,0.5,,,-2.0853,-2.0853,0,0,False,False,
QUICK_REENTRY_60MIN_MIN_PCT,1.0,,,-2.0853,-2.0853,0,0,False,False,
QUICK_REENTRY_60MIN_MIN_PCT,2.0,,,-2.0853,-2.0853,0,0,False,False,
REENTRY2_STOCH_CROSS_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
REENTRY2_STOCH_CROSS_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_K15M_PARTIAL_MULT,0.125,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_K15M_PARTIAL_MULT,0.1875,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_K15M_PARTIAL_MULT,0.25,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_K15M_PARTIAL_MULT,0.3125,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_K15M_PARTIAL_MULT,0.375,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_RALLY_K15M_MAX,50.0,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_RALLY_K15M_MAX,75.0,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_RALLY_K15M_MAX,100.0,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_RALLY_K15M_MAX,125.0,,,-2.0853,-2.0853,0,0,False,False,
REENTRY_RALLY_K15M_MAX,150.0,,,-2.0853,-2.0853,0,0,False,False,
REGIME_TRENDING_EXIT_GAIN_MIN,1.0,,,-2.0853,-2.0853,0,0,False,False,
REGIME_TRENDING_EXIT_GAIN_MIN,1.5,,,-2.0853,-2.0853,0,0,False,False,
REGIME_TRENDING_EXIT_GAIN_MIN,2.0,,,-2.0853,-2.0853,0,0,False,False,
REGIME_TRENDING_EXIT_GAIN_MIN,2.5,,,-2.0853,-2.0853,0,0,False,False,
