field,operational_field,approved_debug_artifact_excluded,historical_missing_from_baseline_quickconfig,present_in_current_quickconfig,current_growth_since_baseline,authoritative_type,authoritative_default,authoritative_grid,authoritative_grid_source,authoritative_definition_selected,authoritative_definition_sites,inventory_sources,inventory_groups,catalog_present,family,required_npz_arrays,required_npz_arrays_basis,side_applicability,venue_applicability,timeframe_applicability,existing_vector_read,existing_vector_read_sites,rejected_vector_census_sites,existing_live_read,existing_live_read_sites,rejected_live_census_sites,recommended_disjoint_vector_tranche
LEGACY_REENTRY_PSR_FULL_DC,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":2019,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":2019,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":2408,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""REENTRY""]",False,REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:36840:process_single_reentry_evaluation:getattr""]",[],03_REENTRY_CAUSAL_STATE
LEGACY_REENTRY_PSR_K_DC_CROSSOVER,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":2018,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":2018,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":2409,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""REENTRY""]",False,REENTRY,"[""close_{tf}"",""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:36692:process_single_reentry_evaluation:getattr"",""ez_manage.py:36792:process_single_reentry_evaluation:getattr""]",[],03_REENTRY_CAUSAL_STATE
LEGACY_REENTRY_PSR_QUICK_RECOVERY,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":2017,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":2017,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":2410,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""REENTRY""]",False,REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:36451:process_single_reentry_evaluation:getattr""]",[],03_REENTRY_CAUSAL_STATE
LH_HL_FILTER_ENABLED,True,False,True,False,False,bool,False,"[true,false]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""bool"",""default"":false,""line"":770,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":770,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":217,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""FILTERS_F1-F5"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""F3b_LH_HL_FILTER"",""FILTER"",""RECENT_5D""]",False,F3b_LH_HL_FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3922:simulate_one_symbol:getattr""]",[],True,"[""ez_positions_quick.py:12713:execute_trade_wrapper:getattr"",""tradier_manage.py:20465:should_enter_long:_cfg_auto"",""tradier_manage.py:20477:should_enter_long:_cfg_auto"",""tradier_manage.py:20760:should_enter_short:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LH_HL_FILTER_HEDGE_GATE_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":776,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":776,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":3310,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,LH_HL_FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3929:simulate_one_symbol:getattr""]",[],True,"[""ez_positions_quick.py:12715:execute_trade_wrapper:getattr""]",[],11_CROSS_CUTTING_OTHER
LH_HL_FILTER_MODE,True,False,True,False,False,str,STRICT_2BAR,"[""STRICT_2BAR"",""DC_REGRESS""]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""str"",""default"":""STRICT_2BAR"",""line"":771,""literal_default_available"":true,""source"":""config.py"",""type"":""str""}","[{""annotation"":""str"",""default"":""STRICT_2BAR"",""line"":771,""literal_default_available"":true,""source"":""config.py"",""type"":""str""},{""annotation"":""str"",""default"":""STRICT_2BAR"",""line"":218,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""str""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""FILTERS_F1-F5"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""F3b_LH_HL_FILTER"",""FILTER"",""RECENT_5D""]",False,F3b_LH_HL_FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_positions_quick.py:12721:execute_trade_wrapper:getattr"",""tradier_manage.py:20482:should_enter_long:_cfg_auto"",""tradier_manage.py:20762:should_enter_short:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LH_HL_FILTER_REQUIRE_BOTH,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":780,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":780,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":223,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""FILTER"",""RECENT_5D""]",False,FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_positions_quick.py:12724:execute_trade_wrapper:getattr"",""tradier_manage.py:20485:should_enter_long:_cfg_auto"",""tradier_manage.py:20765:should_enter_short:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LH_HL_FILTER_TF_REQ,True,False,True,False,False,int,2,"[1,2]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""int"",""default"":2,""line"":772,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":2,""line"":772,""literal_default_available"":true,""source"":""config.py"",""type"":""int""},{""annotation"":""int"",""default"":2,""line"":219,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""int""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""FILTERS_F1-F5"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""F3b_LH_HL_FILTER"",""FILTER"",""RECENT_5D""]",False,F3b_LH_HL_FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_positions_quick.py:12722:execute_trade_wrapper:getattr"",""tradier_manage.py:20483:should_enter_long:_cfg_auto"",""tradier_manage.py:20763:should_enter_short:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LIGHT_MODE,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":103,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":103,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":1056,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""GLOBAL"",""RECENT_5D""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:4046:monitor_market_mode:attribute"",""ez_positions_quick.py:17330:monitor_market_mode:attribute""]",[],11_CROSS_CUTTING_OTHER
LINEARITY_LR_LIN4H_MIN,True,False,True,False,False,UNKNOWN,,[],NO_AUTHORITATIVE_GRID,,[],"[""RECENT_RESULTS_5D""]","[""RECENT_5D""]",False,LINEARITY_LR_LIN4H,"[""lr_pct_b_{tf}"",""lr_slope_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
LINEARITY_LR_LONG_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":1249,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":1249,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""RECENT_RESULTS_5D""]","[""RECENT_5D""]",False,LINEARITY_LR_LONG,"[""lr_pct_b_{tf}"",""lr_slope_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,LONG,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3936:simulate_one_symbol:getattr""]",[],True,"[""ez_manage.py:51862:_ensure_ez_all:getattr"",""tradier_manage.py:25386:_ensure_tradier_all:_cfg""]",[],11_CROSS_CUTTING_OTHER
LINEARITY_LR_REQUIRE_ALL,True,False,True,False,False,UNKNOWN,,[],NO_AUTHORITATIVE_GRID,,[],"[""RECENT_RESULTS_5D""]","[""RECENT_5D""]",False,LINEARITY_LR_REQUIRE,"[""lr_pct_b_{tf}"",""lr_slope_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
LINEARITY_LR_SHORT_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":1250,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":1250,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""RECENT_RESULTS_5D""]","[""RECENT_5D""]",False,LINEARITY_LR_SHORT,"[""lr_pct_b_{tf}"",""lr_slope_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,SHORT,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3943:simulate_one_symbol:getattr""]",[],True,"[""ez_manage.py:51863:_ensure_ez_all:getattr"",""tradier_manage.py:25389:_ensure_tradier_all:_cfg""]",[],11_CROSS_CUTTING_OTHER
LIVE_ENTRY_ENGINE_FILTER_TF,True,False,True,False,False,UNKNOWN,,"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",CURATED_OPTIMIZATION_WORKBOOK,,[],"[""ENTRY_SWITCHES_ALL""]","[""VEC_LIVE_ENTRY_ENGINE""]",False,VEC_LIVE_ENTRY_ENGINE,"[""close_15m"",""close_1h"",""close_1m"",""close_3m"",""close_4h"",""close_D"",""high_15m"",""high_1h"",""high_1m"",""high_3m"",""high_4h"",""high_D"",""low_15m"",""low_1h"",""low_1m"",""low_3m"",""low_4h"",""low_D""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",False,[],[],False,[],[],02_ENTRY_FILTERS_CONFIRMATIONS
LIVE_ENTRY_ENGINE_MIN_TFS,True,False,True,False,False,UNKNOWN,,"[1,2,3]",CURATED_OPTIMIZATION_WORKBOOK,,[],"[""ENTRY_SWITCHES_ALL""]","[""VEC_LIVE_ENTRY_ENGINE""]",False,VEC_LIVE_ENTRY_ENGINE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],02_ENTRY_FILTERS_CONFIRMATIONS
LIVE_ONLY_SIGNALS_BATCH5_ENABLED,True,False,True,False,False,UNKNOWN,,"[true,false]",CURATED_OPTIMIZATION_WORKBOOK,,[],"[""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D""]","[""RECENT_5D"",""VEC_LIVE_ONLY_SIGNALS_BATCH5""]",False,VEC_LIVE_ONLY_SIGNALS_BATCH5,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
LIVE_ONLY_SIGNALS_BATCH5_FILTER_TF,True,False,True,False,False,UNKNOWN,,"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",CURATED_OPTIMIZATION_WORKBOOK,,[],"[""ENTRY_SWITCHES_ALL""]","[""VEC_LIVE_ONLY_SIGNALS_BATCH5""]",False,VEC_LIVE_ONLY_SIGNALS_BATCH5,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
LIVE_ONLY_SIGNALS_BATCH5_MIN_TFS,True,False,True,False,False,UNKNOWN,,"[1,2,3]",CURATED_OPTIMIZATION_WORKBOOK,,[],"[""ENTRY_SWITCHES_ALL""]","[""VEC_LIVE_ONLY_SIGNALS_BATCH5""]",False,VEC_LIVE_ONLY_SIGNALS_BATCH5,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
LIVE_POSITION_FRESHNESS_MAX_SEC,True,False,True,False,False,float,3.0,[3.0],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":3.0,""line"":695,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":3.0,""line"":695,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED"",""GLOBAL""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:42363:process_position:getattr"",""ez_manage.py:42886:process_position:getattr"",""ez_positions_quick.py:5740:monitor_hedge_health_loop:getattr"",""ez_positions_quick.py:7154:execute_dual_hedge:getattr""]",[],11_CROSS_CUTTING_OTHER
LIVE_USDC_PAIRS_FILE,True,False,True,False,False,Path,,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Path"",""default"":null,""line"":3612,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}","[{""annotation"":""Path"",""default"":null,""line"":3612,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""GLOBAL"",""RECENT_5D""]",False,GLOBAL,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:11237:init_async:attribute"",""ez_manage.py:51018:main:attribute""]",[],11_CROSS_CUTTING_OTHER
LIVE_VEC_EMERGENCY_BRAKE_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":1085,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":1085,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":732,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""FILTER"",""RECENT_5D""]",False,FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3950:simulate_one_symbol:getattr""]",[],True,"[""ez_manage.py:25991:execute_now:getattr"",""tradier_manage.py:19168:execute_now:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LIVE_VEC_QUARANTINE_STRATEGY_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":1086,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":1086,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":733,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""GLOBAL"",""RECENT_5D""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3957:simulate_one_symbol:getattr""]",[],True,"[""ez_manage.py:26039:execute_now:getattr"",""tradier_manage.py:19214:execute_now:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LIVE_VEC_STALE_MARK_PRICE_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":1084,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":1084,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":731,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""GLOBAL"",""RECENT_5D""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:3964:simulate_one_symbol:getattr""]",[],True,"[""ez_manage.py:24849:execute_now:getattr"",""tradier_manage.py:19086:execute_now:_cfg_auto""]",[],11_CROSS_CUTTING_OTHER
LOCAL_DATA_MAX_AGE,True,False,True,False,False,float,200.0,[200.0],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":200.0,""line"":3406,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":200.0,""line"":3406,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED"",""GLOBAL""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:2277:<module>:getattr""]",[],11_CROSS_CUTTING_OTHER
LOG_BACKUP_COUNT,True,False,True,False,False,int,30,[30],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":30,""line"":4472,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":30,""line"":4472,""literal_default_available"":true,""source"":""config.py"",""type"":""int""},{""annotation"":""int"",""default"":30,""line"":1961,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,LOG_BACKUP_COUNT,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""tradier_indicators.py:86:<module>:attribute"",""tradier_rankings.py:153:<module>:attribute""]",[],12_NON_STRATEGY_OPERATIONS_REVIEW
LOG_DIR,True,False,True,False,False,Path,,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Path"",""default"":null,""line"":1956,""literal_default_available"":false,""source"":""config_tradier.py"",""type"":""Path""}","[{""annotation"":""Path"",""default"":null,""line"":3560,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""},{""annotation"":""Path"",""default"":null,""line"":1956,""literal_default_available"":false,""source"":""config_tradier.py"",""type"":""Path""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""GLOBAL"",""RECENT_5D""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:3525:<module>:attribute"",""ez_manage.py:5701:__post_init__:attribute"",""ez_manage.py:5754:__setattr__:attribute"",""tradier_indicators.py:84:<module>:attribute"",""tradier_indicators.py:86:<module>:attribute"",""tradier_manage.py:25297:main:attribute"",""tradier_manage.py:3909:<module>:attribute"",""tradier_manage.py:4037:setup_logger_per_account:attribute"",""tradier_manage.py:4067:<module>:attribute"",""tradier_rankings.py:150:<module>:attribute"",""tradier_rankings.py:153:<module>:attribute""]",[],12_NON_STRATEGY_OPERATIONS_REVIEW
LOG_FILE_EZ_BACKUP,True,False,True,False,False,Path,,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Path"",""default"":null,""line"":3563,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}","[{""annotation"":""Path"",""default"":null,""line"":3563,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,LOG_FILE_EZ,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],12_NON_STRATEGY_OPERATIONS_REVIEW
LOG_FILE_EZ_CROSSES,True,False,True,False,False,Path,,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Path"",""default"":null,""line"":3567,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}","[{""annotation"":""Path"",""default"":null,""line"":3567,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,LOG_FILE_EZ,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],12_NON_STRATEGY_OPERATIONS_REVIEW
LOG_FILE_EZ_INDICATORS,True,False,True,False,False,Path,,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Path"",""default"":null,""line"":3566,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}","[{""annotation"":""Path"",""default"":null,""line"":3566,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,LOG_FILE_EZ,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],12_NON_STRATEGY_OPERATIONS_REVIEW
LOG_FILE_EZ_MANAGE,True,False,True,False,False,Path,,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Path"",""default"":null,""line"":3561,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}","[{""annotation"":""Path"",""default"":null,""line"":3561,""literal_default_available"":false,""source"":""config.py"",""type"":""Path""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,LOG_FILE_EZ,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],12_NON_STRATEGY_OPERATIONS_REVIEW
