switch_sheet,switch,switch_value,filter,filter_value,baseline_gain,new_gain,delta,baseline_trades,new_trades,delta_trades,baseline_bh,new_bh,delta_bh,baseline_tim,new_tim,delta_tim,baseline_dd,new_dd,delta_dd,baseline_sharpe,new_sharpe,delta_sharpe,window_days,symside,valid
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DC_MOMENT_STRONG_THRESHOLD,40,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DC_MOMENT_STRONG_THRESHOLD,50,0.482450,0.110801,-0.371649,186,185,-1,-12.803487,-12.803487,0.000000,21.170000,21.170000,0.000000,8.491540,8.522380,0.030840,0.049918,0.044126,-0.005792,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DC_MOMENT_STRONG_THRESHOLD,30,0.482450,-0.166073,-0.648523,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.080000,-0.090000,8.491540,8.545502,0.053962,0.049918,0.039875,-0.010044,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DC_MOMENT_STRONG_THRESHOLD,20,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DELTA_HTF_GATE,4h,0.482450,-0.421970,-0.904420,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.390000,0.220000,8.491540,8.566984,0.075443,0.049918,0.036141,-0.013778,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DELTA_HTF_GATE,4h_ALT,0.482450,-0.421970,-0.904420,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.390000,0.220000,8.491540,8.566984,0.075443,0.049918,0.036141,-0.013778,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DELTA_REENTRY_FILTER_ENABLED,False,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DELTA_REENTRY_FILTER_ENABLED,True,0.482450,-0.083739,-0.566189,186,181,-5,-12.803487,-12.803487,0.000000,21.170000,20.640000,-0.530000,8.491540,8.538613,0.047073,0.049918,0.037499,-0.012419,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DUP_GUARD_FILTER_TF,OFF,0.482450,-0.331334,-0.813784,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.210000,0.040000,8.491540,8.559363,0.067823,0.049918,0.037482,-0.012436,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DUP_GUARD_FILTER_TF,D,0.482450,0.110801,-0.371649,186,185,-1,-12.803487,-12.803487,0.000000,21.170000,21.170000,0.000000,8.491540,8.522380,0.030840,0.049918,0.044126,-0.005792,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DUP_GUARD_FILTER_TF,4h,0.482450,0.110801,-0.371649,186,185,-1,-12.803487,-12.803487,0.000000,21.170000,21.170000,0.000000,8.491540,8.522380,0.030840,0.049918,0.044126,-0.005792,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DUP_GUARD_FILTER_TF,1h,0.482450,0.110801,-0.371649,186,185,-1,-12.803487,-12.803487,0.000000,21.170000,21.170000,0.000000,8.491540,8.522380,0.030840,0.049918,0.044126,-0.005792,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,DUP_GUARD_FILTER_TF,15m,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_9_21_FILTER_MIN_TFS,0,0.482450,-0.151278,-0.633728,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.170000,0.000000,8.491540,8.544263,0.052723,0.049918,0.040100,-0.009818,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_9_21_FILTER_MIN_TFS,2,0.482450,-0.331334,-0.813784,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.210000,0.040000,8.491540,8.559363,0.067823,0.049918,0.037482,-0.012436,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_9_21_FILTER_MIN_TFS,1,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_BLANKET_FILTER_ENABLED,False,0.482450,-0.421970,-0.904420,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.390000,0.220000,8.491540,8.566984,0.075443,0.049918,0.036141,-0.013778,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_BLANKET_FILTER_ENABLED,True,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_BLANKET_FILTER_MIN_TFS,0,0.482450,-0.439387,-0.921837,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.300000,0.130000,8.491540,8.568450,0.076909,0.049918,0.035883,-0.014035,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_BLANKET_FILTER_MIN_TFS,2,0.482450,0.482450,0.000000,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.170000,0.000000,8.491540,8.491540,0.000000,0.049918,0.049918,0.000000,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EMA_BLANKET_FILTER_MIN_TFS,1,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EXECUTE_NOW_SINGLE_GATE_ENFORCE,0.0,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EXECUTE_NOW_SINGLE_GATE_ENFORCE,0.0_ALT,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EZ_MANAGE_THROTTLER_RATE,0.0,0.482450,0.099654,-0.382796,186,182,-4,-12.803487,-12.803487,0.000000,21.170000,20.200000,-0.970000,8.491540,8.523309,0.031769,0.049918,0.037280,-0.012638,30,SNDK_LONG,True
FILTERS_EXPLAINED,ADX_RANGING_THRESHOLD,Threshold_ALT,EZ_MANAGE_THROTTLER_RATE,0.0_ALT,0.482450,-0.166073,-0.648523,186,186,0,-12.803487,-12.803487,0.000000,21.170000,21.080000,-0.090000,8.491540,8.545502,0.053962,0.049918,0.039875,-0.010044,30,SNDK_LONG,True
