field,historical_venues,stocks_1yr_rows,stocks_1yr_metric_count,stocks_1yr_nonzero,stocks_1yr_delta_min,stocks_1yr_delta_max,crypto_1yr_rows,crypto_1yr_metric_count,crypto_1yr_nonzero,crypto_1yr_delta_min,crypto_1yr_delta_max,current_classification,current_connected_crypto,current_connected_tradier,current_lifecycle_consumers,in_beam_diagram_overlap,historical_evidence_status,reuse_decision,current_connection_sites,engine_replay_required
REENTRY_MEAN_REV_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,31,4,0.0,877.15,133,133,133,-1.0,4253.2544,UNCONNECTED,False,False,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_MEAN_REV_TOLERANCE_PCT,"CRYPTO_1YR,STOCKS_1YR",31,31,4,0.0,877.15,133,133,133,-1.0,4253.2544,UNCONNECTED,False,False,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_MEAN_REV_WINDOW_BARS,"CRYPTO_1YR,STOCKS_1YR",31,31,4,0.0,877.15,133,133,133,-1.0,4253.2544,UNCONNECTED,False,False,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL1_ENABLED,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL1_ENABLED_DEFAULT,CRYPTO_1YR,,,,,,133,1,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL1_ENABLED_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REENTRY_PULL2_ENABLED,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL2_ENABLED_DEFAULT,CRYPTO_1YR,,,,,,133,1,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL2_ENABLED_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REENTRY_PULL4_ENABLED,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL4_ENABLED_DEFAULT,CRYPTO_1YR,,,,,,133,7,7,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_PULL4_ENABLED_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REENTRY_TIER1_SIZE_MULT_TRADIER,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
