switch,value,mean_delta_vs_bh,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,BNBUSDC_LONG,BNBUSDC_SHORT,BTCDOMUSDT_LONG,BTCDOMUSDT_SHORT,BTCUSDC_LONG,BTCUSDC_SHORT,DOGEUSDC_LONG,DOGEUSDC_SHORT,ETHUSDC_LONG,ETHUSDC_SHORT,HYPEUSDT_LONG,HYPEUSDT_SHORT,SOLUSDC_LONG,SOLUSDC_SHORT,WLDUSDC_LONG,WLDUSDC_SHORT,XRPUSDC_LONG,XRPUSDC_SHORT,ZECUSDC_LONG,ZECUSDC_SHORT
BB_MAX_4h,0.8,3.8962,9,POSITIVE,0.35,4.1109,-11.725,3.387,-1.917,-0.063,-18.166,2.83,4.413,-1.431,100.914,-31.694,-3.982,1.767,87.901,-37.841,-10.145,4.759,-18.059,7.926,-1.746,0.796
BB_MAX_4h,0.05,3.8694,10,POSITIVE,0.35,4.1109,-25.71,17.8,-2.111,0.438,-33.757,18.419,13.199,-10.677,195.417,-128.414,-7.786,5.516,189.242,-138.363,-19.564,14.931,-37.781,27.553,-3.573,2.608
BB_MAX_4h,0.5,3.8646,10,POSITIVE,0.35,4.1109,-17.497,8.456,-2.052,0.096,-26.015,9.084,7.759,-4.557,137.27,-65.067,-5.512,3.283,126.96,-77.768,-14.831,9.544,-25.641,14.825,-2.566,1.521
RSI_MAX_4h,50,3.8215,10,POSITIVE,50,3.8215,-17.539,9.066,-2.004,0.122,-25.406,9.37,6.7,-3.808,132.523,-63.42,-5.702,3.173,125.599,-76.07,-15.267,10.674,-25.884,15.27,-2.535,1.567
DCPOS_MAX_4h,0.5,3.7686,9,POSITIVE,0.35,3.9318,-18.516,9.734,-1.726,-0.097,-26.978,10.742,8.315,-5.404,142.292,-72.097,-5.548,3.478,131.112,-83.462,-13.154,8.452,-27.986,17.177,-2.497,1.534
DCPOS_MAX_4h,0.2,3.654,10,POSITIVE,0.35,3.9318,-26.939,18.991,-2.128,0.349,-36.094,19.775,13.18,-10.238,208.434,-143.177,-7.714,5.364,198.891,-150.347,-18.657,14.26,-40.938,31.105,-3.51,2.474
BB_MAX_1h,0.65,3.608,9,POSITIVE,0.65,3.608,-13.865,6.097,-1.829,-0.006,-21.005,7.492,6.801,-4.223,117.26,-52.221,-4.512,2.246,104.798,-60.687,-10.947,6.875,-21.207,12.129,-2.103,1.066
BB_MAX_1h,0.8,3.5976,9,POSITIVE,0.65,3.608,-11.196,3.832,-1.68,-0.062,-14.968,4.137,5.502,-2.787,98.017,-34.839,-3.518,1.133,81.594,-39.652,-8.885,5.075,-17.178,8.288,-1.425,0.564
DCPOS_MAX_4h,0.8,3.5944,9,POSITIVE,0.35,3.9318,-10.079,1.462,-1.116,-0.43,-18.0,2.026,3.875,-0.967,85.124,-20.169,-3.648,1.271,71.294,-23.181,-7.28,2.435,-13.596,3.85,-1.483,0.501
DCPOS_MAX_4h,0.65,3.5907,9,POSITIVE,0.35,3.9318,-14.025,5.474,-1.57,-0.254,-23.278,5.933,6.063,-2.791,112.885,-46.103,-4.683,2.552,101.712,-52.544,-9.965,4.714,-21.346,10.022,-2.081,1.099
BB_MAX_4h,0.95,3.5102,9,POSITIVE,0.35,4.1109,-8.087,1.02,-1.685,-0.071,-14.255,0.581,2.798,-0.272,78.632,-16.105,-2.95,0.903,63.391,-18.321,-8.203,3.201,-14.635,5.067,-1.254,0.45
SIZE_SLOPE_D,1.0,3.5002,11,POSITIVE,12.0,42.0037,9.156,-2.106,1.521,0.036,8.504,-9.582,-1.6,8.883,-33.035,62.673,4.548,-1.089,-46.691,48.924,13.774,-3.384,13.521,-5.108,1.88,-0.821
BB_MAX_1h,0.2,3.4638,10,POSITIVE,0.65,3.608,-21.295,13.788,-2.048,0.247,-31.325,15.724,10.847,-8.528,174.199,-110.747,-7.354,5.168,170.13,-125.474,-16.453,12.57,-32.524,23.386,-3.299,2.264
