switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
BB_MAX_4h,0.9,-0.8415,1,REDO_FUNCTION,1.0,-0.5644,-4.193,-0.051,-0.577,0.0,-0.754,-1.749,1.003,-0.411,44.0,56.0,41.9,46.6,36.9,39.1,41.8,37.5
STOCH_MIN_15m,20,-0.8691,1,REDO_FUNCTION,10,-0.574,-2.813,-0.804,-1.632,-1.321,-0.376,-1.322,2.518,-1.203,40.7,56.5,34.5,43.6,37.7,34.4,40.3,42.4
SMA200_DIST_15m,-0.1,-0.8839,1,REDO_FUNCTION,-0.1,-0.8839,-0.579,-0.594,-4.191,-0.958,-0.064,-0.247,0.027,-0.465,51.0,52.7,31.2,33.6,49.0,48.9,51.1,45.0
ADX_MIN_D,20,-0.886,1,REDO_FUNCTION,10,-0.1407,-2.892,-0.439,-0.008,-2.762,-0.384,-1.897,2.834,-1.54,37.8,53.7,40.0,19.5,37.5,29.5,39.3,31.7
BB_MAX_D,0.8,-0.8937,1,REDO_FUNCTION,1.0,-0.5709,-5.835,0.0,-0.113,0.0,-0.882,-2.363,2.358,-0.315,37.5,61.1,46.9,46.6,33.7,31.7,35.9,34.6
DCPOS_MAX_D,0.8,-0.9164,1,REDO_FUNCTION,1.0,0.0,-5.506,0.0,-0.035,0.0,-0.889,-2.081,1.286,-0.106,39.3,61.1,44.7,46.6,33.9,32.3,41.6,36.8
DCPOS_MAX_4h,0.8,-0.9259,3,REDO_FUNCTION,1.0,0.0,-5.236,-0.096,0.062,0.0,-0.911,-2.31,0.83,0.254,40.2,59.9,43.5,46.6,32.3,32.4,40.6,37.5
MFI_MIN_15m,30,-0.9384,1,REDO_FUNCTION,30,-0.9384,-3.826,-0.648,-1.024,-1.146,-0.582,-1.883,2.643,-1.041,36.2,41.1,36.5,34.5,34.2,34.2,35.0,36.9
XCONF_STOCH_1h,on,-0.9561,1,REDO_FUNCTION,on,-0.9561,-4.915,-1.475,-1.783,-2.312,-0.524,-1.783,7.298,-2.155,75.5,83.6,74.0,69.8,76.4,75.3,77.0,74.4
STOCH_MAX_15m,80,-0.9649,1,REDO_FUNCTION,90,-0.5743,-2.041,-0.992,-1.885,-1.464,-0.313,-1.005,1.425,-1.444,45.9,43.4,36.6,34.2,43.4,43.0,46.0,36.0
