switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
ADX_MIN_4h,40,-3.3127,1,REDO_FUNCTION,10,-0.1244,-10.407,-4.408,-2.499,-5.641,-1.464,-5.56,9.582,-6.105,6.5,0.0,25.7,0.0,9.7,3.9,4.5,9.3
EMA_DIST_4h,-0.02,-3.3715,1,REDO_FUNCTION,-0.05,-3.1281,-4.748,-4.132,-8.536,-4.872,-0.555,-2.753,3.052,-4.428,32.5,2.0,9.9,1.5,36.3,36.9,34.3,26.7
WT_LEVEL_MAX_15m,-40,-3.3959,1,REDO_FUNCTION,20,-1.8157,-8.84,-3.189,-7.441,-4.593,-1.307,-4.071,7.441,-5.167,15.3,7.1,5.6,6.0,13.6,15.5,15.3,7.9
RSI_MIN_4h,55,-3.4062,1,REDO_FUNCTION,30,-1.4104,-5.805,-4.393,-7.821,-5.57,-0.707,-3.382,7.205,-6.777,19.6,0.1,1.9,0.2,23.4,22.5,20.2,15.8
EMA_DIST_D,0.0,-3.4166,1,REDO_FUNCTION,-0.05,-2.9866,-5.174,-4.159,-8.497,-4.062,-0.536,-3.351,3.824,-5.378,29.1,1.5,6.0,3.3,35.5,32.2,29.8,17.8
MFI_MIN_D,60,-3.4569,1,REDO_FUNCTION,30,-1.6604,-6.58,-4.408,-5.918,-5.641,-1.026,-4.488,6.597,-6.191,21.6,0.0,20.7,0.0,19.2,15.1,17.9,9.7
SMA200_DIST_4h,0.0,-3.4718,1,REDO_FUNCTION,-0.1,-2.7966,-5.105,-4.023,-8.497,-4.609,-0.524,-3.286,3.82,-5.55,28.6,2.5,6.0,1.9,35.2,31.0,30.3,17.6
RSI_MIN_D,55,-3.4746,1,REDO_FUNCTION,30,-2.3825,-5.507,-4.408,-8.533,-4.853,-0.672,-3.404,6.552,-6.972,21.7,0.0,0.0,4.8,25.9,20.4,22.7,15.2
EMA_DIST_4h,0.0,-3.5398,1,REDO_FUNCTION,-0.05,-3.1281,-5.457,-4.2,-8.497,-4.995,-0.713,-3.515,3.871,-4.812,28.4,1.8,6.0,1.2,31.7,29.0,28.4,21.4
RSI_MIN_4h,60,-3.7125,1,REDO_FUNCTION,30,-1.4104,-7.785,-4.408,-8.413,-5.641,-0.963,-4.294,8.915,-7.111,13.5,0.0,0.5,0.0,19.0,15.6,12.1,9.2
RSI_MIN_D,60,-3.7386,1,REDO_FUNCTION,30,-2.3825,-7.2,-4.408,-8.533,-5.491,-0.881,-4.47,8.436,-7.362,14.6,0.0,0.0,0.8,18.9,13.0,13.3,8.6
ADX_MIN_15m,40,-3.7992,1,REDO_FUNCTION,10,-0.057,-11.462,-3.686,-5.994,-5.005,-1.572,-5.468,9.632,-6.839,4.0,3.9,6.9,2.4,4.7,3.9,4.1,4.6
